,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/min_delta,config/temperature_head,config/batch_size,config/latent_dim,logdir
0,0.8055882352941177,0.8055882352941177,0.007720238087298041,0.80415200218211,0.0076686620207080175,0.80415200218211,0.007668662020708055,0.8029411764705883,0.0,0.8020321191247657,0.0,0.8020321191247657,0.0,0.7970588235294118,0.0,0.7648246274936739,0.0,0.7648246274936737,0.0,1700152170,False,1,1345010e,2023-11-16_16-29-30,17.85377335548401,17.85377335548401,153057,6eebfd64e8fb,172.17.0.2,17.85377335548401,1,,0.011,0.8,400,36,1345010e
1,0.8088235294117647,0.7973529411764706,0.008670237042931593,0.7960318349944037,0.00910689543731464,0.7960318349944037,0.009106895437314693,0.8088235294117647,0.0,0.8071969540346589,0.0,0.8071969540346589,0.0,0.8029411764705883,0.0,0.7717255696887337,0.0,0.7717255696887337,0.0,1700152200,False,1,2762ee34,2023-11-16_16-30-00,33.993104219436646,33.993104219436646,155006,6eebfd64e8fb,172.17.0.2,33.993104219436646,1,,0.648,0.5,452,312,2762ee34
2,0.8235294117647058,0.8164705882352941,0.005294117647058804,0.8155944798358629,0.005083678428731076,0.8155944798358629,0.00508367842873103,0.8235294117647058,0.0,0.8227782806068371,0.0,0.8227782806068369,0.0,0.8,0.0,0.7668319611535249,0.0,0.7668319611535249,0.0,1700152202,False,1,8bc8b70f,2023-11-16_16-30-02,31.387139320373535,31.387139320373535,153057,6eebfd64e8fb,172.17.0.2,31.387139320373535,1,,0.121,1.0,230,333,8bc8b70f
3,0.8117647058823529,0.7952941176470588,0.01256126853180154,0.7932313390480397,0.012538064044623572,0.7932313390480396,0.012538064044623563,0.8117647058823529,0.0,0.8108494733352838,0.0,0.8108494733352839,0.0,0.8,0.0,0.7705824030316603,0.0,0.7705824030316601,0.0,1700152227,True,1,d4b299f9,2023-11-16_16-30-27,42.85309338569641,42.85309338569641,155439,6eebfd64e8fb,172.17.0.2,42.85309338569641,1,,0.42,0.5,427,539,d4b299f9
4,0.8205882352941176,0.8164705882352941,0.007463869141440887,0.8142411661087126,0.007674268600191492,0.8142411661087126,0.00767426860019144,0.8205882352941176,0.0,0.8199193636264575,0.0,0.8199193636264575,0.0,0.8,0.0,0.7658172486523549,0.0,0.765817248652355,0.0,1700152246,True,1,5014588d,2023-11-16_16-30-46,47.265830993652344,47.265830993652344,155707,6eebfd64e8fb,172.17.0.2,47.265830993652344,1,,0.4,0.5,510,675,5014588d
5,0.8264705882352941,0.8241176470588234,0.003901911518065193,0.8215416209223318,0.004302214581355405,0.8215416209223318,0.004302214581355398,0.8264705882352941,0.0,0.8243431748312794,0.0,0.8243431748312795,0.0,0.8088235294117647,0.0,0.7747703417721096,0.0,0.7747703417721096,0.0,1700152222,False,1,64d49a03,2023-11-16_16-30-22,21.968738079071045,21.968738079071045,155006,6eebfd64e8fb,172.17.0.2,21.968738079071045,1,,0.5660000000000001,0.9,194,105,64d49a03
6,0.8323529411764706,0.8258823529411764,0.010669621851304163,0.8246628803440934,0.01067634305357437,0.8246628803440934,0.010676343053574405,0.8323529411764706,0.0,0.8311854395002601,0.0,0.8311854395002604,0.0,0.8117647058823529,0.0,0.7904939434695529,0.0,0.7904939434695528,0.0,1700152262,False,1,d9ce8cbb,2023-11-16_16-31-02,60.55578112602234,60.55578112602234,153057,6eebfd64e8fb,172.17.0.2,60.55578112602234,1,,0.28300000000000003,0.1,482,291,d9ce8cbb
7,0.8352941176470589,0.8326470588235294,0.004641098187664557,0.831702691471339,0.004716580286436004,0.831702691471339,0.004716580286435971,0.8352941176470589,0.0,0.8344900733198252,0.0,0.8344900733198253,0.0,0.8029411764705883,0.0,0.7717665274470771,0.0,0.771766527447077,0.0,1700152258,False,1,fcaaf23c,2023-11-16_16-30-58,36.09017372131348,36.09017372131348,155006,6eebfd64e8fb,172.17.0.2,36.09017372131348,1,,0.133,0.7000000000000001,201,329,fcaaf23c
8,0.8235294117647058,0.8170588235294117,0.00470588235294116,0.8156739729371537,0.0047160959936837915,0.8156739729371537,0.004716095993683877,0.8235294117647058,0.0,0.8228898737942142,0.0,0.8228898737942142,0.0,0.8029411764705883,0.0,0.7717255696887337,0.0,0.7717255696887337,0.0,1700152273,True,1,b6006a58,2023-11-16_16-31-13,45.25211262702942,45.25211262702942,155439,6eebfd64e8fb,172.17.0.2,45.25211262702942,1,,0.056,0.6000000000000001,497,674,b6006a58
9,0.8352941176470589,0.8226470588235294,0.004930310180658898,0.8214095066267706,0.0050480114196155565,0.8214095066267706,0.0050480114196155505,0.8352941176470589,0.0,0.8348310423367632,0.0,0.8348310423367632,0.0,0.8058823529411765,0.0,0.7739017967420941,0.0,0.773901796742094,0.0,1700152295,False,1,7dba7ce9,2023-11-16_16-31-35,50.70848822593689,50.70848822593689,156644,6eebfd64e8fb,172.17.0.2,50.70848822593689,1,,0.5730000000000001,0.4,341,710,7dba7ce9
