,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/min_delta,config/temperature,config/batch_size,logdir
826,0.7697058823529411,0.7697058823529411,0.00821952271322479,0.768206516208614,0.008246210664963317,0.768206516208614,0.00824621066496331,0.711764705882353,0.0,0.7102162898946451,0.0,0.7102162898946451,0.0,0.7558823529411764,0.0,0.7165906855467498,0.0,0.7165906855467498,0.0,1699963109,True,1,87569d9b,2023-11-14_11-58-29,35.73685598373413,35.73685598373413,368137,59d6454cd9f4,172.17.0.2,35.73685598373413,1,,0.038,0.4,163,87569d9b
827,0.6529411764705882,0.6420588235294118,0.019993511058067452,0.6398188934008797,0.019459068609891335,0.6398188934008797,0.019459068609891366,0.5294117647058824,0.0,0.5194449987238683,0.0,0.5194449987238683,0.0,0.6529411764705882,0.0,0.6133803265968185,0.0,0.6133803265968187,0.0,1699963096,True,1,458c0910,2023-11-14_11-58-16,22.301074028015137,22.301074028015137,368530,59d6454cd9f4,172.17.0.2,22.301074028015137,1,,0.068,1.2000000000000002,188,458c0910
828,0.6176470588235293,0.6176470588235293,0.011083202165539277,0.612320451210622,0.012052570487473734,0.612320451210622,0.012052570487473754,0.5764705882352941,0.0,0.570103832106377,0.0,0.570103832106377,0.0,0.5852941176470589,0.0,0.533414489192223,0.0,0.5334144891922231,0.0,1699963106,True,1,b795f8ce,2023-11-14_11-58-26,22.42458176612854,22.42458176612854,364916,59d6454cd9f4,172.17.0.2,22.42458176612854,1,,0.6880000000000001,0.6000000000000001,147,b795f8ce
829,0.7694117647058822,0.7694117647058822,0.010205500925233821,0.7666284059888442,0.010505777592650105,0.7666284059888442,0.010505777592650076,0.7235294117647059,0.0,0.7196583400458005,0.0,0.7196583400458004,0.0,0.7617647058823529,0.0,0.7346897727010064,0.0,0.7346897727010063,0.0,1699963151,True,1,abac7ba1,2023-11-14_11-59-11,55.46587538719177,55.46587538719177,368530,59d6454cd9f4,172.17.0.2,55.46587538719177,1,,0.003,0.2,197,abac7ba1
830,0.8214705882352942,0.8214705882352942,0.010021602963176958,0.8199600323882794,0.010205809339277849,0.8199600323882794,0.010205809339277816,0.7617647058823529,0.0,0.76003692357685,0.0,0.7600369235768499,0.0,0.7705882352941177,0.0,0.7346887836961423,0.0,0.7346887836961423,0.0,1699963147,False,1,2a6c2045,2023-11-14_11-59-07,48.021509885787964,48.021509885787964,374218,59d6454cd9f4,172.17.0.2,48.021509885787964,1,,0.001,0.4,172,2a6c2045
831,0.6329411764705882,0.6329411764705882,0.010669621851304174,0.6248293395745215,0.011227471809216188,0.6248293395745216,0.01122747180921616,0.5617647058823529,0.0,0.5520200597514572,0.0,0.5520200597514572,0.0,0.6058823529411764,0.0,0.5360221861471862,0.0,0.5360221861471862,0.0,1699963125,True,1,abdcd5ef,2023-11-14_11-58-45,20.411908864974976,20.411908864974976,369702,59d6454cd9f4,172.17.0.2,20.411908864974976,1,,0.106,0.30000000000000004,182,abdcd5ef
832,0.6529411764705882,0.6411764705882353,0.012547487651589147,0.6332783576270786,0.012747213273600616,0.6332783576270786,0.012747213273600585,0.5764705882352941,0.0,0.5733366379486601,0.0,0.5733366379486601,0.0,0.6529411764705882,0.0,0.6059624783818333,0.0,0.6059624783818331,0.0,1699963129,True,1,93d46bda,2023-11-14_11-58-49,22.310070514678955,22.310070514678955,364916,59d6454cd9f4,172.17.0.2,22.310070514678955,1,,0.47600000000000003,0.4,159,93d46bda
833,0.8176470588235294,0.8176470588235294,0.010522672835293125,0.8164065715667977,0.010603867019278587,0.8164065715667977,0.010603867019278627,0.7588235294117647,0.0,0.7591544616748148,0.0,0.7591544616748148,0.0,0.788235294117647,0.0,0.7499039956076163,0.0,0.7499039956076163,0.0,1699963144,False,1,9fe3c774,2023-11-14_11-59-04,35.00550317764282,35.00550317764282,368137,59d6454cd9f4,172.17.0.2,35.00550317764282,1,,0.053,0.30000000000000004,204,9fe3c774
834,0.7920588235294118,0.7920588235294118,0.011318753767584629,0.7914753650406775,0.011263870881904265,0.7914753650406775,0.011263870881904352,0.7529411764705882,0.0,0.7535361614187455,0.0,0.7535361614187455,0.0,0.7735294117647059,0.0,0.739598972033617,0.0,0.7395989720336169,0.0,1699963158,False,1,c876c6c7,2023-11-14_11-59-18,32.920758962631226,32.920758962631226,369702,59d6454cd9f4,172.17.0.2,32.920758962631226,1,,0.031,0.5,191,c876c6c7
835,0.6705882352941176,0.6600000000000001,0.01617379657043238,0.6561911831745408,0.01684910070516253,0.6561911831745408,0.01684910070516254,0.5,0.0,0.49817057037594026,0.0,0.49817057037594015,0.0,0.6705882352941176,0.0,0.6262220690979874,0.0,0.6262220690979874,0.0,1699963152,True,1,714d283f,2023-11-14_11-59-12,23.20633840560913,23.20633840560913,364916,59d6454cd9f4,172.17.0.2,23.20633840560913,1,,0.018000000000000002,0.6000000000000001,429,714d283f
836,0.7794117647058824,0.7423529411764707,0.009503232012590302,0.7412369649995597,0.009651680323660658,0.7412369649995597,0.009651680323660657,0.7264705882352941,0.0,0.7269014189944423,0.0,0.7269014189944423,0.0,0.7794117647058824,0.0,0.7508983769310046,0.0,0.7508983769310045,0.0,1699963194,True,1,07b8b035,2023-11-14_11-59-54,49.6572380065918,49.6572380065918,368137,59d6454cd9f4,172.17.0.2,49.6572380065918,1,,0.001,0.1,177,07b8b035
