,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/latent_dim,config/transform_funcs,logdir
835,0.6294117647058823,0.6138235294117647,0.005102750462616914,0.6106733822689983,0.005437025206885505,0.6106733822689983,0.005437025206885511,0.5852941176470589,0.0,0.5831508071908965,0.0,0.5831508071908965,0.0,0.6294117647058823,0.0,0.5782837370249126,0.0,0.5782837370249128,0.0,1699934523,True,1,fcf7c0e0,2023-11-14_04-02-03,23.19555902481079,23.19555902481079,325319,59d6454cd9f4,172.17.0.2,23.19555902481079,1,,13,"(6, 7, 8, 9)",fcf7c0e0
836,0.6058823529411764,0.6029411764705882,0.01955384722187608,0.6035433631656998,0.01933855959755679,0.6035433631656998,0.019338559597556763,0.5323529411764706,0.0,0.5270275744129418,0.0,0.5270275744129418,0.0,0.6058823529411764,0.0,0.5894940865914723,0.0,0.5894940865914723,0.0,1699934533,True,1,d46db142,2023-11-14_04-02-13,27.08140730857849,27.08140730857849,319375,59d6454cd9f4,172.17.0.2,27.08140730857849,1,,42,"(2, 3, 4, 6)",d46db142
837,0.5558823529411765,0.5544117647058824,0.011560731768843256,0.5450460604803455,0.01400953410838401,0.5450460604803457,0.01400953410838401,0.5558823529411765,0.0,0.5563367003367004,0.0,0.5563367003367004,0.0,0.5411764705882353,0.0,0.46570624193971033,0.0,0.4657062419397104,0.0,1699934540,True,1,bfd41bfb,2023-11-14_04-02-20,21.04965114593506,21.04965114593506,322990,59d6454cd9f4,172.17.0.2,21.04965114593506,1,,39,"(5, 7, 10, 11)",bfd41bfb
838,0.5811764705882352,0.5811764705882352,0.013870383673590104,0.577939146759585,0.014008731929139227,0.577939146759585,0.014008731929139241,0.5088235294117647,0.0,0.5122301656149613,0.0,0.5122301656149613,0.0,0.5617647058823529,0.0,0.5284036991356791,0.0,0.528403699135679,0.0,1699934555,True,1,09853e27,2023-11-14_04-02-35,31.55090045928955,31.55090045928955,325319,59d6454cd9f4,172.17.0.2,31.55090045928955,1,,45,"(0, 2, 3)",09853e27
839,0.5964705882352941,0.5964705882352941,0.013719886811400704,0.5942592744643471,0.013635926379101541,0.5942592744643471,0.013635926379101528,0.5029411764705882,0.0,0.5030033544814868,0.0,0.5030033544814868,0.0,0.5882352941176471,0.0,0.5576977453556834,0.0,0.5576977453556835,0.0,1699934559,True,1,ace47711,2023-11-14_04-02-39,31.406633377075195,31.406633377075195,322601,59d6454cd9f4,172.17.0.2,31.406633377075195,1,,83,"(4, 10)",ace47711
840,0.6711764705882354,0.6711764705882354,0.015384349212496484,0.6680633536997875,0.015696094967656695,0.6680633536997875,0.015696094967656664,0.6176470588235294,0.0,0.6094767341240152,0.0,0.6094767341240152,0.0,0.6705882352941176,0.0,0.6047542259491632,0.0,0.6047542259491631,0.0,1699934574,True,1,0c440ecb,2023-11-14_04-02-54,43.67825412750244,43.67825412750244,332610,59d6454cd9f4,172.17.0.2,43.67825412750244,1,,78,"(0, 7, 9, 11)",0c440ecb
841,0.5967647058823529,0.5967647058823529,0.013823529411764682,0.5952992402658375,0.014066042418611568,0.5952992402658375,0.014066042418611563,0.5176470588235295,0.0,0.524175616303739,0.0,0.5241756163037391,0.0,0.5647058823529412,0.0,0.5314141519745962,0.0,0.5314141519745962,0.0,1699934573,True,1,cf85d9c5,2023-11-14_04-02-53,40.02670121192932,40.02670121192932,319375,59d6454cd9f4,172.17.0.2,40.02670121192932,1,,50,"(0, 2, 6, 11)",cf85d9c5
842,0.5838235294117646,0.5838235294117646,0.011102697698927572,0.5837291396693733,0.011543229472844887,0.5837291396693733,0.011543229472844849,0.4647058823529412,0.0,0.463598276025386,0.0,0.46359827602538606,0.0,0.5676470588235294,0.0,0.5355155696873063,0.0,0.5355155696873062,0.0,1699934567,True,1,76cce728,2023-11-14_04-02-47,27.45529055595398,27.45529055595398,322990,59d6454cd9f4,172.17.0.2,27.45529055595398,1,,55,"(2, 4, 8)",76cce728
843,0.5794117647058824,0.565,0.014907442232322592,0.5588742614681284,0.015182771494190842,0.5588742614681284,0.015182771494190858,0.5235294117647059,0.0,0.528384337008255,0.0,0.5283843370082549,0.0,0.5794117647058824,0.0,0.5415749207670935,0.0,0.5415749207670935,0.0,1699934589,True,1,fd556511,2023-11-14_04-03-09,33.719502449035645,33.719502449035645,325319,59d6454cd9f4,172.17.0.2,33.719502449035645,1,,47,"(0, 2, 4, 5)",fd556511
844,0.7167647058823529,0.7167647058823529,0.00852941176470587,0.7150882917318091,0.008393331481462306,0.7150882917318091,0.00839333148146226,0.7029411764705882,0.0,0.7025100171033203,0.0,0.7025100171033204,0.0,0.7,0.0,0.664257438634709,0.0,0.664257438634709,0.0,1699934594,False,1,50208777,2023-11-14_04-03-14,34.99782109260559,34.99782109260559,322601,59d6454cd9f4,172.17.0.2,34.99782109260559,1,,10,"(0, 1, 5, 10)",50208777
845,0.6232352941176471,0.6232352941176471,0.01686758936345843,0.6189777615936842,0.016904787047559218,0.6189777615936842,0.01690478704755915,0.5823529411764706,0.0,0.5830574722654389,0.0,0.5830574722654389,0.0,0.6,0.0,0.5758224128793307,0.0,0.5758224128793306,0.0,1699934607,True,1,47cfd2a6,2023-11-14_04-03-27,39.36854290962219,39.36854290962219,322990,59d6454cd9f4,172.17.0.2,39.36854290962219,1,,75,"(4, 7, 9)",47cfd2a6
