,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/temperature_head,config/latent_dim,config/transform_funcs,logdir
521,0.6485915492957747,0.6485915492957747,0.0033280391734173322,0.6544238753316987,0.003899680860344379,0.6544238753316988,0.0038996808603444085,0.6126760563380281,0.0,0.6163702912854864,0.0,0.6163702912854865,0.0,0.5211267605633803,0.0,0.4813679149135261,0.0,0.4813679149135261,0.0,1700027534,True,1,7bbdc6fe,2023-11-15_05-52-14,39.38769483566284,39.38769483566284,54223,ef22c4b2088d,172.17.0.2,39.38769483566284,1,,0.30000000000000004,101,"(3, 4, 6, 9)",7bbdc6fe
522,0.6598591549295775,0.6598591549295775,0.005980159250167598,0.6554979291696195,0.00568917162456537,0.6554979291696196,0.005689171624565347,0.636150234741784,0.0,0.6332928343933703,0.0,0.6332928343933701,0.0,0.5704225352112676,0.0,0.511025956032728,0.0,0.5110259560327279,0.0,1700027537,False,1,1543d9af,2023-11-15_05-52-17,40.93914604187012,40.93914604187012,55316,ef22c4b2088d,172.17.0.2,40.93914604187012,1,,0.30000000000000004,131,"(0, 1, 3, 7)",1543d9af
523,0.6032863849765259,0.5791079812206573,0.008910916852630183,0.566771925971466,0.007692792441667284,0.566771925971466,0.007692792441667251,0.568075117370892,0.0,0.5478157623035279,0.0,0.5478157623035279,0.0,0.6032863849765259,0.0,0.5616749597444205,0.0,0.5616749597444205,0.0,1700027541,True,1,462b9a2f,2023-11-15_05-52-21,44.28929305076599,44.28929305076599,52872,ef22c4b2088d,172.17.0.2,44.28929305076599,1,,0.1,11,"(1, 4, 10, 11)",462b9a2f
524,0.6091549295774648,0.6091549295774648,0.006320615970815136,0.6051925744222377,0.006350825363411903,0.6051925744222377,0.0063508253634119395,0.5821596244131455,0.0,0.570806944644824,0.0,0.570806944644824,0.0,0.5751173708920188,0.0,0.5451978672981763,0.0,0.5451978672981762,0.0,1700027567,True,1,35508e8f,2023-11-15_05-52-47,47.507795333862305,47.507795333862305,57044,ef22c4b2088d,172.17.0.2,47.507795333862305,1,,0.1,78,"(1, 11)",35508e8f
525,0.617605633802817,0.617605633802817,0.007602880159953829,0.6136123736626442,0.007657303374778126,0.6136123736626442,0.007657303374778157,0.6103286384976526,0.0,0.5984384796586754,0.0,0.5984384796586754,0.0,0.5352112676056338,0.0,0.4816973774723398,0.0,0.4816973774723398,0.0,1700027565,True,1,e11cf11e,2023-11-15_05-52-45,39.997050285339355,39.997050285339355,53254,ef22c4b2088d,172.17.0.2,39.997050285339355,1,,0.6000000000000001,164,"(0, 1, 8, 9)",e11cf11e
526,0.6446009389671362,0.6446009389671362,0.004478587800079549,0.6471268547929704,0.004819257936745817,0.6471268547929704,0.004819257936745829,0.6103286384976526,0.0,0.6026007721674124,0.0,0.6026007721674124,0.0,0.5938967136150235,0.0,0.5783782177040603,0.0,0.5783782177040605,0.0,1700027574,True,1,078eabb9,2023-11-15_05-52-54,40.03258466720581,40.03258466720581,54223,ef22c4b2088d,172.17.0.2,40.03258466720581,1,,0.9,273,"(1, 4, 9, 10)",078eabb9
527,0.6145539906103286,0.6145539906103286,0.008957175600159129,0.6113343325243765,0.008922244659985621,0.6113343325243765,0.008922244659985642,0.5751173708920188,0.0,0.5699772886093641,0.0,0.569977288609364,0.0,0.5446009389671361,0.0,0.48882042801752146,0.0,0.4888204280175215,0.0,1700027578,True,1,7d873a40,2023-11-15_05-52-58,40.25310730934143,40.25310730934143,55316,ef22c4b2088d,172.17.0.2,40.25310730934143,1,,0.2,121,"(2, 4, 8, 11)",7d873a40
528,0.6227699530516432,0.6227699530516432,0.007929270307067877,0.6248485099568604,0.007671714242387354,0.6248485099568604,0.00767171424238734,0.5915492957746479,0.0,0.5885918289217357,0.0,0.5885918289217357,0.0,0.5821596244131455,0.0,0.556223843098997,0.0,0.556223843098997,0.0,1700027584,True,1,846ccc5a,2023-11-15_05-53-04,42.3641242980957,42.3641242980957,52872,ef22c4b2088d,172.17.0.2,42.3641242980957,1,,0.4,179,"(2, 10, 11)",846ccc5a
529,0.6147887323943662,0.6147887323943662,0.005980159250167608,0.6091918347423713,0.005592485986759434,0.6091918347423713,0.0055924859867594375,0.5751173708920188,0.0,0.5712185782738936,0.0,0.5712185782738936,0.0,0.5938967136150235,0.0,0.5643493506577176,0.0,0.5643493506577176,0.0,1700027607,True,1,a0e065f0,2023-11-15_05-53-27,42.535844564437866,42.535844564437866,53254,ef22c4b2088d,172.17.0.2,42.535844564437866,1,,0.1,92,"(1, 6, 8)",a0e065f0
530,0.6589201877934273,0.6589201877934273,0.005358080850006255,0.6537919617891631,0.005308711048850424,0.6537919617891631,0.005308711048850392,0.6197183098591549,0.0,0.6090717292125661,0.0,0.6090717292125661,0.0,0.5516431924882629,0.0,0.48912600130509193,0.0,0.489126001305092,0.0,1700027605,False,1,42ef54a7,2023-11-15_05-53-25,37.993701219558716,37.993701219558716,57044,ef22c4b2088d,172.17.0.2,37.993701219558716,1,,0.2,35,"(0, 3, 10)",42ef54a7
531,0.6220657276995306,0.6220657276995306,0.007642638777511604,0.615222369683963,0.007398572264994022,0.615222369683963,0.007398572264994069,0.6173708920187794,0.0,0.6102489378858628,0.0,0.6102489378858628,0.0,0.5657276995305164,0.0,0.5093347353078906,0.0,0.5093347353078905,0.0,1700027612,True,1,074fdb02,2023-11-15_05-53-32,38.66632866859436,38.66632866859436,54223,ef22c4b2088d,172.17.0.2,38.66632866859436,1,,0.30000000000000004,144,"(3, 4, 8, 10)",074fdb02
