,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/min_delta,config/temperature,config/latent_dim,config/batch_size,config/transform_funcs,logdir
0,0.6558823529411765,0.6420588235294118,0.012272144732367683,0.6390582103941909,0.013221793850547985,0.6390582103941909,0.013221793850547944,0.5058823529411764,0.0,0.5074161399534246,0.0,0.5074161399534245,0.0,0.6558823529411765,0.0,0.6315710821336833,0.0,0.6315710821336833,0.0,1698345172,False,1,64098998,2023-10-26_18-32-52,22.78799557685852,22.78799557685852,975738,b274391a1c31,172.17.0.2,22.78799557685852,1,,0.707,0.2,131,398,"(2, 3, 4, 11)",64098998
1,0.6411764705882353,0.6276470588235294,0.0164915832575014,0.6235833307388543,0.01630059523844431,0.6235833307388543,0.016300595238444304,0.49411764705882355,0.0,0.4744638398355424,0.0,0.4744638398355426,0.0,0.6411764705882353,0.0,0.6065734158903793,0.0,0.6065734158903793,0.0,1698345196,True,1,eb7eaf79,2023-10-26_18-33-16,38.65589189529419,38.65589189529419,976111,b274391a1c31,172.17.0.2,38.65589189529419,1,,0.834,0.9,331,188,"(0, 5, 8, 9)",eb7eaf79
2,0.6705882352941176,0.6588235294117648,0.010604562574894089,0.6553638147821397,0.011093062303182164,0.6553638147821396,0.011093062303182173,0.5705882352941176,0.0,0.5634441274351569,0.0,0.5634441274351568,0.0,0.6705882352941176,0.0,0.6362099878809266,0.0,0.6362099878809265,0.0,1698345204,False,1,b49cd25e,2023-10-26_18-33-24,38.3051974773407,38.3051974773407,976506,b274391a1c31,172.17.0.2,38.3051974773407,1,,0.749,2.0,342,206,"(0, 4, 6, 8)",b49cd25e
3,0.5970588235294118,0.5591176470588235,0.017071496306978167,0.5555653389409461,0.017090376142558948,0.5555653389409461,0.017090376142558927,0.4676470588235294,0.0,0.47537500615474704,0.0,0.475375006154747,0.0,0.5970588235294118,0.0,0.5643730279016419,0.0,0.5643730279016418,0.0,1698345204,True,1,35e3f2d9,2023-10-26_18-33-24,31.686156749725342,31.686156749725342,975738,b274391a1c31,172.17.0.2,31.686156749725342,1,,0.061,0.1,145,299,"(2, 5, 10, 11)",35e3f2d9
4,0.6588235294117647,0.6544117647058825,0.012495673991910585,0.6513249805726018,0.012564561676150872,0.6513249805726018,0.012564561676150878,0.49117647058823527,0.0,0.48751260009419034,0.0,0.48751260009419034,0.0,0.6588235294117647,0.0,0.622121044762317,0.0,0.622121044762317,0.0,1698345214,True,1,639be7bb,2023-10-26_18-33-34,32.15623140335083,32.15623140335083,977396,b274391a1c31,172.17.0.2,32.15623140335083,1,,0.459,1.4000000000000001,201,264,"(1, 5, 7, 10)",639be7bb
5,0.6852941176470588,0.6500000000000001,0.01759797094311952,0.647720980251138,0.01794376789609794,0.6477209802511379,0.017943767896097956,0.5117647058823529,0.0,0.49307144495538113,0.0,0.4930714449553811,0.0,0.6852941176470588,0.0,0.6582392705664712,0.0,0.6582392705664711,0.0,1698345225,False,1,75023549,2023-10-26_18-33-45,34.20442199707031,34.20442199707031,977869,b274391a1c31,172.17.0.2,34.20442199707031,1,,0.532,1.3,256,392,"(2, 4, 6, 9)",75023549
6,0.586470588235294,0.586470588235294,0.012833778958394968,0.5763947042959051,0.013648868107219768,0.5763947042959051,0.01364886810721977,0.49411764705882355,0.0,0.49485989379886475,0.0,0.49485989379886464,0.0,0.5470588235294118,0.0,0.48788638077232543,0.0,0.4878863807723255,0.0,1698345220,True,1,a191a5a0,2023-10-26_18-33-40,24.042629957199097,24.042629957199097,976111,b274391a1c31,172.17.0.2,24.042629957199097,1,,0.4,0.7000000000000001,104,469,"(7, 8, 10, 11)",a191a5a0
7,0.6470588235294118,0.6270588235294119,0.014276071881778369,0.6242692265425568,0.014810886164761039,0.6242692265425568,0.014810886164761037,0.5294117647058824,0.0,0.5132330207230288,0.0,0.5132330207230288,0.0,0.6470588235294118,0.0,0.5931181022090113,0.0,0.5931181022090113,0.0,1698345239,True,1,3970a84a,2023-10-26_18-33-59,34.631969690322876,34.631969690322876,976506,b274391a1c31,172.17.0.2,34.631969690322876,1,,0.376,1.1,346,479,"(4, 6, 7, 8)",3970a84a
8,0.6235294117647059,0.5932352941176469,0.011008804277772292,0.5917771069726051,0.011426690874078686,0.5917771069726052,0.01142669087407867,0.4852941176470588,0.0,0.4793044552322412,0.0,0.4793044552322413,0.0,0.6235294117647059,0.0,0.6011141968715137,0.0,0.6011141968715136,0.0,1698345223,True,1,df18eb02,2023-10-26_18-33-43,18.729201078414917,18.729201078414917,975738,b274391a1c31,172.17.0.2,18.729201078414917,1,,0.371,1.0,54,504,"(2, 3, 4, 6)",df18eb02
9,0.6441176470588236,0.6258823529411766,0.016679349269126866,0.6210139533110546,0.01678449938954051,0.6210139533110548,0.016784499389540485,0.5411764705882353,0.0,0.5366134352500305,0.0,0.5366134352500305,0.0,0.6441176470588236,0.0,0.6075341907223925,0.0,0.6075341907223925,0.0,1698345244,True,1,e5da4628,2023-10-26_18-34-04,30.498424768447876,30.498424768447876,977396,b274391a1c31,172.17.0.2,30.498424768447876,1,,0.458,1.7000000000000002,177,155,"(0, 1, 6, 10)",e5da4628
