,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/min_delta,config/temperature,config/latent_dim,config/batch_size,config/transform_funcs,logdir
218,0.6764705882352942,0.6582352941176471,0.008803899733585713,0.6530183518886502,0.008963440887419748,0.6530183518886502,0.008963440887419757,0.6176470588235294,0.0,0.6132392882607728,0.0,0.6132392882607728,0.0,0.6764705882352942,0.0,0.6397257365845912,0.0,0.6397257365845913,0.0,1698336116,False,1,cdad3421,2023-10-26_16-01-56,18.345396041870117,18.345396041870117,943185,b274391a1c31,172.17.0.2,18.345396041870117,1,,0.075,0.2,25,363,"(3, 8)",cdad3421
219,0.5705882352941176,0.55,0.01261624152325131,0.5400659705933365,0.012794152185758743,0.5400659705933366,0.012794152185758712,0.4970588235294118,0.0,0.4919676001128591,0.0,0.49196760011285906,0.0,0.5705882352941176,0.0,0.48500729929531394,0.0,0.48500729929531405,0.0,1698336110,True,1,3035fe56,2023-10-26_16-01-50,8.280228853225708,8.280228853225708,941415,b274391a1c31,172.17.0.2,8.280228853225708,1,,0.779,0.6000000000000001,15,461,"(0, 7)",3035fe56
220,0.7711764705882354,0.7711764705882354,0.009374927912064245,0.7701913727816425,0.009475833206997797,0.7701913727816425,0.009475833206997799,0.6794117647058824,0.0,0.677684060221871,0.0,0.677684060221871,0.0,0.7617647058823529,0.0,0.7326584556416151,0.0,0.7326584556416151,0.0,1698336119,False,1,4c37e701,2023-10-26_16-01-59,16.746772289276123,16.746772289276123,938154,b274391a1c31,172.17.0.2,16.746772289276123,1,,0.585,0.1,37,472,"(1, 8)",4c37e701
221,0.5929411764705882,0.5929411764705882,0.01078253104695492,0.5892433160818336,0.010980354115197953,0.5892433160818336,0.010980354115197963,0.5117647058823529,0.0,0.5152795219139622,0.0,0.5152795219139622,0.0,0.5911764705882353,0.0,0.5453720042356542,0.0,0.5453720042356542,0.0,1698336114,True,1,d8cd2c1f,2023-10-26_16-01-54,8.238917827606201,8.238917827606201,947502,b274391a1c31,172.17.0.2,8.238917827606201,1,,0.54,0.30000000000000004,21,499,"(3, 7)",d8cd2c1f
222,0.5882352941176471,0.5697058823529411,0.01643115026289814,0.5653197346736853,0.01615570293980558,0.5653197346736853,0.01615570293980559,0.4970588235294118,0.0,0.49790024402083155,0.0,0.4979002440208315,0.0,0.5882352941176471,0.0,0.5551773883317243,0.0,0.5551773883317243,0.0,1698336117,True,1,a36c6e11,2023-10-26_16-01-57,10.610130548477173,10.610130548477173,942189,b274391a1c31,172.17.0.2,10.610130548477173,1,,0.614,0.9,18,484,"(6, 8)",a36c6e11
223,0.6,0.5288235294117647,0.006809315825170696,0.5266574717306598,0.005968917831245895,0.5266574717306598,0.005968917831245906,0.4970588235294118,0.0,0.4933762433817478,0.0,0.49337624338174785,0.0,0.6,0.0,0.5738133122620521,0.0,0.5738133122620521,0.0,1698336118,True,1,b1798b98,2023-10-26_16-01-58,7.335627317428589,7.335627317428589,941415,b274391a1c31,172.17.0.2,7.335627317428589,1,,0.122,0.2,7,375,"(2, 4)",b1798b98
224,0.5867647058823529,0.5867647058823529,0.01893578659155279,0.588341899703688,0.01892315670709344,0.588341899703688,0.018923156707093453,0.4970588235294118,0.0,0.49053575783544395,0.0,0.490535757835444,0.0,0.5705882352941176,0.0,0.5246505335369305,0.0,0.5246505335369304,0.0,1698336130,True,1,169b3b1e,2023-10-26_16-02-10,15.702473640441895,15.702473640441895,947502,b274391a1c31,172.17.0.2,15.702473640441895,1,,0.32,0.5,47,433,"(5, 11)",169b3b1e
225,0.611764705882353,0.5752941176470587,0.015123482508449927,0.5740826581552804,0.01543629928308744,0.5740826581552804,0.015436299283087446,0.4764705882352941,0.0,0.47447225070366966,0.0,0.47447225070366966,0.0,0.611764705882353,0.0,0.5791960963013596,0.0,0.5791960963013595,0.0,1698336129,True,1,b2afd5ea,2023-10-26_16-02-09,13.26945185661316,13.26945185661316,943185,b274391a1c31,172.17.0.2,13.26945185661316,1,,0.211,0.4,32,453,"(2, 5)",b2afd5ea
226,0.5911764705882353,0.5688235294117646,0.008129573506520741,0.5638287444875554,0.007401748926756239,0.5638287444875554,0.007401748926756261,0.4852941176470588,0.0,0.48419746532575003,0.0,0.4841974653257501,0.0,0.5911764705882353,0.0,0.5584566197283276,0.0,0.5584566197283277,0.0,1698336135,True,1,0e607f1d,2023-10-26_16-02-15,18.543107986450195,18.543107986450195,942189,b274391a1c31,172.17.0.2,18.543107986450195,1,,0.033,0.2,27,424,"(2, 6)",0e607f1d
227,0.6794117647058824,0.6623529411764707,0.01415436401825406,0.6599839160232953,0.014200560059375764,0.6599839160232953,0.01420056005937581,0.6176470588235294,0.0,0.6180587544892012,0.0,0.6180587544892011,0.0,0.6794117647058824,0.0,0.6507729666628052,0.0,0.650772966662805,0.0,1698336141,False,1,caa3c3fc,2023-10-26_16-02-21,22.892359495162964,22.892359495162964,941415,b274391a1c31,172.17.0.2,22.892359495162964,1,,0.278,0.1,23,395,"(10, 11)",caa3c3fc
228,0.611764705882353,0.596764705882353,0.013885966628368092,0.5905404278670681,0.013242828003871642,0.5905404278670681,0.01324282800387167,0.5558823529411765,0.0,0.5510252781103803,0.0,0.5510252781103803,0.0,0.611764705882353,0.0,0.5776410521534361,0.0,0.5776410521534361,0.0,1698336137,True,1,a5ee1622,2023-10-26_16-02-17,17.671276569366455,17.671276569366455,938154,b274391a1c31,172.17.0.2,17.671276569366455,1,,0.41600000000000004,0.4,40,315,"(3, 10)",a5ee1622
