,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/temperature_head,config/latent_dim,config/batch_size,config/transform_funcs,logdir,num_params,num_trainable_params,error_type,error_message,error_traceback
0,0.7131519274376418,0.6988095238095239,0.0016243252587181834,0.6971517895651376,0.001577812558735259,0.6971517895651375,0.001577812558735237,0.7131519274376418,0.0,0.7082556299651062,0.0,0.708255629965106,0.0,0.6836734693877551,0.0,0.6787937533858671,0.0,0.6787937533858671,0.0,1699476944,False,1,f47b90ac,2023-11-08_20-55-44,60.54184675216675,60.54184675216675,13547,bcf5648ce3ef,172.17.0.2,60.54184675216675,1,,0.9,53,243,"(6,)",f47b90ac,,,,,
1,0.7091836734693877,0.6974489795918367,0.006468797984201576,0.6961881898163262,0.006998174767829126,0.6961881898163265,0.006998174767829096,0.6780045351473923,0.0,0.6729870278671015,0.0,0.6729870278671015,0.0,0.7091836734693877,0.0,0.7061304843177553,0.0,0.7061304843177552,0.0,1699476954,True,1,be6a0710,2023-11-08_20-55-54,62.24603509902954,62.24603509902954,13926,bcf5648ce3ef,172.17.0.2,62.24603509902954,1,,0.9,65,486,"(3,)",be6a0710,,,,,
2,0.7341269841269841,0.707482993197279,0.0030528145165161697,0.7008519695318898,0.0026093833974992274,0.7008519695318898,0.002609383397499198,0.7256235827664399,0.0,0.7226282472734505,0.0,0.7226282472734504,0.0,0.7341269841269841,0.0,0.7338856369696135,0.0,0.7338856369696137,0.0,1699476979,False,1,5c68eb2e,2023-11-08_20-56-19,77.63512754440308,77.63512754440308,14321,bcf5648ce3ef,172.17.0.2,77.63512754440308,1,,0.7000000000000001,87,292,"(3,)",5c68eb2e,,,,,
3,0.70578231292517,0.6903628117913833,0.006188233128795993,0.6858546985352756,0.006609097558872259,0.6858546985352756,0.006609097558872209,0.70578231292517,0.0,0.7040901215412516,0.0,0.7040901215412515,0.0,0.703514739229025,0.0,0.6981405146736946,0.0,0.6981405146736946,0.0,1699476993,True,1,72cdf6ba,2023-11-08_20-56-33,82.24636507034302,82.24636507034302,14712,bcf5648ce3ef,172.17.0.2,82.24636507034302,1,,0.9,59,192,"(11,)",72cdf6ba,,,,,
4,0.6944444444444444,0.6935374149659864,0.0026973644565465565,0.6893968684738225,0.003134683377276989,0.6893968684738225,0.003134683377277003,0.6893424036281179,0.0,0.6866378117621189,0.0,0.6866378117621189,0.0,0.6944444444444444,0.0,0.691030800251685,0.0,0.691030800251685,0.0,1699476995,True,1,10e65604,2023-11-08_20-56-35,74.27745914459229,74.27745914459229,15099,bcf5648ce3ef,172.17.0.2,74.27745914459229,1,,0.2,29,140,"(11,)",10e65604,,,,,
5,0.6938775510204082,0.6729591836734693,0.004488493019686529,0.6690655286822319,0.006074434445418606,0.6690655286822319,0.006074434445418631,0.6842403628117913,0.0,0.6822478935782912,0.0,0.6822478935782913,0.0,0.6938775510204082,0.0,0.6924741128609329,0.0,0.6924741128609327,0.0,1699477021,True,1,0ee802a4,2023-11-08_20-57-01,76.82739806175232,76.82739806175232,13547,bcf5648ce3ef,172.17.0.2,76.82739806175232,1,,0.1,45,331,"(9,)",0ee802a4,,,,,
6,0.7074829931972789,0.6971655328798186,0.0015379433068311394,0.6939375981116955,0.0016238533401960913,0.6939375981116953,0.00162385334019609,0.7074829931972789,0.0,0.706641222612909,0.0,0.7066412226129091,0.0,0.6541950113378685,0.0,0.6279847312233126,0.0,0.6279847312233127,0.0,1699476990,True,1,6f44f715,2023-11-08_20-56-30,35.760493516922,35.760493516922,13926,bcf5648ce3ef,172.17.0.2,35.760493516922,1,,0.2,11,360,"(4,)",6f44f715,,,,,
7,0.7069160997732427,0.7045351473922903,0.0029325435728747257,0.701665218891451,0.002830048214661287,0.701665218891451,0.0028300482146613043,0.7069160997732427,0.0,0.7051137731075082,0.0,0.7051137731075084,0.0,0.7040816326530612,0.0,0.6998286668520567,0.0,0.6998286668520565,0.0,1699477019,True,1,77ae9b6e,2023-11-08_20-56-59,40.47015738487244,40.47015738487244,14321,bcf5648ce3ef,172.17.0.2,40.47015738487244,1,,0.6000000000000001,33,362,"(3,)",77ae9b6e,,,,,
8,0.7109410430839003,0.7109410430839003,0.002437641723356008,0.7118738985531821,0.0026314248577059976,0.7118738985531821,0.0026314248577060453,0.7006802721088435,0.0,0.7016596455260213,0.0,0.7016596455260212,0.0,0.6422902494331065,0.0,0.6197728677196409,0.0,0.619772867719641,0.0,1699477030,True,1,288306f4,2023-11-08_20-57-10,40.26413345336914,40.26413345336914,13926,bcf5648ce3ef,172.17.0.2,40.26413345336914,1,,0.2,24,260,"(4,)",288306f4,,,,,
9,0.7131519274376418,0.6903628117913833,0.0016193715257466822,0.6867423758319909,0.0017041811718927168,0.6867423758319908,0.0017041811718926506,0.7046485260770975,0.0,0.7010534334051494,0.0,0.7010534334051494,0.0,0.7131519274376418,0.0,0.7157671959113575,0.0,0.7157671959113576,0.0,1699477020,False,1,080b251c,2023-11-08_20-57-00,26.9888277053833,26.9888277053833,14712,bcf5648ce3ef,172.17.0.2,26.9888277053833,1,,0.9,7,155,"(3,)",080b251c,,,,,
