,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/temperature_head,config/latent_dim,config/batch_size,config/transform_funcs,logdir
0,0.6349765258215962,0.6349765258215962,0.007943156955722336,0.6292666438729253,0.007849090129840152,0.6292666438729253,0.007849090129840154,0.6173708920187794,0.0,0.6125373844914447,0.0,0.6125373844914448,0.0,0.5657276995305164,0.0,0.5138608877705385,0.0,0.5138608877705385,0.0,1699449819,False,1,75834585,2023-11-08_13-23-39,8.581676244735718,8.581676244735718,315729,0ec30bcea331,172.17.0.2,8.581676244735718,1,,0.6000000000000001,81,465,"(3,)",75834585
1,0.644600938967136,0.644600938967136,0.0018779342723004742,0.6379784367817236,0.0021454871024598307,0.6379784367817235,0.00214548710245983,0.6150234741784038,0.0,0.6037773940768748,0.0,0.6037773940768748,0.0,0.5774647887323944,0.0,0.5206114801440349,0.0,0.5206114801440349,0.0,1699449827,False,1,31906a12,2023-11-08_13-23-47,7.4114885330200195,7.4114885330200195,315729,0ec30bcea331,172.17.0.2,7.4114885330200195,1,,0.5,78,442,"(9,)",31906a12
2,0.5845070422535211,0.5791079812206572,0.006475640480813956,0.5712863597315847,0.0065364918154029936,0.5712863597315847,0.006536491815402999,0.5845070422535211,0.0,0.5705514878915572,0.0,0.5705514878915572,0.0,0.5704225352112676,0.0,0.5170576976257307,0.0,0.5170576976257307,0.0,1699449834,True,1,44a400c4,2023-11-08_13-23-54,7.553894996643066,7.553894996643066,315729,0ec30bcea331,172.17.0.2,7.553894996643066,1,,0.2,42,268,"(7,)",44a400c4
3,0.5983568075117371,0.5983568075117371,0.005697023990381027,0.6086134914124266,0.00631909485509424,0.6086134914124266,0.0063190948550942315,0.5868544600938967,0.0,0.5814310030505024,0.0,0.5814310030505022,0.0,0.5657276995305164,0.0,0.5174580069974472,0.0,0.5174580069974472,0.0,1699449840,True,1,906c40f2,2023-11-08_13-24-00,5.3725457191467285,5.3725457191467285,315729,0ec30bcea331,172.17.0.2,5.3725457191467285,1,,0.8,17,228,"(7,)",906c40f2
4,0.6286384976525821,0.6286384976525821,0.0093189827423846,0.6166019519286536,0.009841321299778756,0.6166019519286535,0.009841321299778782,0.5868544600938967,0.0,0.5788778761428057,0.0,0.5788778761428058,0.0,0.568075117370892,0.0,0.51157609552155,0.0,0.5115760955215499,0.0,1699449848,True,1,034e74cb,2023-11-08_13-24-08,7.761735439300537,7.761735439300537,315729,0ec30bcea331,172.17.0.2,7.761735439300537,1,,0.4,79,265,"(1,)",034e74cb
5,0.6570422535211268,0.6570422535211268,0.008162130821931318,0.651724982768876,0.008623493801822191,0.651724982768876,0.00862349380182219,0.6314553990610329,0.0,0.6282712861256879,0.0,0.6282712861256878,0.0,0.5892018779342723,0.0,0.5405112002575774,0.0,0.5405112002575774,0.0,1699449856,False,1,a368cc41,2023-11-08_13-24-16,8.2331063747406,8.2331063747406,315729,0ec30bcea331,172.17.0.2,8.2331063747406,1,,0.4,89,168,"(7,)",a368cc41
6,0.6314553990610329,0.6183098591549296,0.007657045272441362,0.6110949503176479,0.006651893205158821,0.611094950317648,0.006651893205158781,0.6314553990610329,0.0,0.6161546107063942,0.0,0.6161546107063942,0.0,0.5892018779342723,0.0,0.5311361757101426,0.0,0.5311361757101426,0.0,1699449862,True,1,c66bb12c,2023-11-08_13-24-22,5.661341905593872,5.661341905593872,315729,0ec30bcea331,172.17.0.2,5.661341905593872,1,,0.5,33,432,"(9,)",c66bb12c
7,0.6232394366197183,0.6232394366197183,0.007515404034545603,0.6225505903737931,0.0076098131343975564,0.6225505903737931,0.0076098131343975434,0.6220657276995305,0.0,0.6155001868957181,0.0,0.6155001868957181,0.0,0.5774647887323944,0.0,0.537005643551009,0.0,0.537005643551009,0.0,1699449869,True,1,b38105c8,2023-11-08_13-24-29,7.8675830364227295,7.8675830364227295,315729,0ec30bcea331,172.17.0.2,7.8675830364227295,1,,0.5,80,489,"(10,)",b38105c8
8,0.6295774647887324,0.6295774647887324,0.010112985553304232,0.6290260001415505,0.010771157023832795,0.6290260001415505,0.010771157023832738,0.6126760563380281,0.0,0.6105093108530856,0.0,0.6105093108530856,0.0,0.5610328638497653,0.0,0.5179151207050465,0.0,0.5179151207050465,0.0,1699449877,True,1,aa577f54,2023-11-08_13-24-37,7.194984197616577,7.194984197616577,315729,0ec30bcea331,172.17.0.2,7.194984197616577,1,,0.8,90,202,"(2,)",aa577f54
9,0.57981220657277,0.5605633802816901,0.0017566466604572483,0.5627424289123716,0.001997784177063432,0.5627424289123716,0.0019977841770634284,0.57981220657277,0.0,0.5791962668149719,0.0,0.579196266814972,0.0,0.5563380281690141,0.0,0.5089229282263896,0.0,0.5089229282263895,0.0,1699449882,True,1,8a78a2e1,2023-11-08_13-24-42,5.30675482749939,5.30675482749939,315729,0ec30bcea331,172.17.0.2,5.30675482749939,1,,0.4,7,259,"(0,)",8a78a2e1
10,0.5896713615023474,0.5896713615023474,0.004901552351601183,0.58747377023812,0.004694129948797806,0.58747377023812,0.004694129948797841,0.5774647887323944,0.0,0.5703924439627345,0.0,0.5703924439627344,0.0,0.5704225352112676,0.0,0.5253200189765944,0.0,0.5253200189765944,0.0,1699449889,True,1,04f51edf,2023-11-08_13-24-49,7.000671863555908,7.000671863555908,315729,0ec30bcea331,172.17.0.2,7.000671863555908,1,,0.6000000000000001,25,481,"(11,)",04f51edf
11,0.5563380281690141,0.531924882629108,0.007057885623649263,0.506551169374525,0.007085256059163265,0.5065511693745249,0.007085256059163274,0.5563380281690141,0.0,0.49329932461459763,0.0,0.49329932461459763,0.0,0.5516431924882629,0.0,0.4905263005989029,0.0,0.4905263005989029,0.0,1699449894,True,1,61bb9bc0,2023-11-08_13-24-54,4.597976207733154,4.597976207733154,315729,0ec30bcea331,172.17.0.2,4.597976207733154,1,,0.9,7,487,"(11,)",61bb9bc0
12,0.5140845070422535,0.4833333333333333,0.00450924242072736,0.4315297100917929,0.007579622562236844,0.4315297100917929,0.007579622562236829,0.5140845070422535,0.0,0.4572321401935095,0.0,0.45723214019350944,0.0,0.5140845070422535,0.0,0.4457964449028977,0.0,0.4457964449028977,0.0,1699449899,True,1,4e6097dd,2023-11-08_13-24-59,5.59330940246582,5.59330940246582,315729,0ec30bcea331,172.17.0.2,5.59330940246582,1,,0.30000000000000004,4,325,"(1,)",4e6097dd
13,0.6070422535211267,0.6070422535211267,0.006228403362169781,0.602959856103779,0.005749368722410362,0.602959856103779,0.005749368722410403,0.5915492957746479,0.0,0.580157299483181,0.0,0.580157299483181,0.0,0.5657276995305164,0.0,0.5068706520984333,0.0,0.5068706520984332,0.0,1699449907,True,1,c14d044a,2023-11-08_13-25-07,8.092826843261719,8.092826843261719,315729,0ec30bcea331,172.17.0.2,8.092826843261719,1,,0.4,58,462,"(8,)",c14d044a
14,0.6009389671361502,0.5586854460093897,0.00503465037312846,0.5615930182457222,0.0044234761672273795,0.5615930182457222,0.004423476167227389,0.6009389671361502,0.0,0.6004504460518004,0.0,0.6004504460518004,0.0,0.5774647887323944,0.0,0.5282957577249646,0.0,0.5282957577249645,0.0,1699449914,True,1,84bfc935,2023-11-08_13-25-14,6.286886215209961,6.286886215209961,315729,0ec30bcea331,172.17.0.2,6.286886215209961,1,,0.5,33,444,"(3,)",84bfc935
15,0.5821596244131455,0.5659624413145539,0.007675015363507894,0.5728249516289468,0.007831642385598121,0.5728249516289469,0.007831642385598131,0.5821596244131455,0.0,0.5787232021129448,0.0,0.5787232021129447,0.0,0.568075117370892,0.0,0.5177546623518727,0.0,0.5177546623518727,0.0,1699449921,True,1,d9d6325d,2023-11-08_13-25-21,6.826044797897339,6.826044797897339,315729,0ec30bcea331,172.17.0.2,6.826044797897339,1,,0.7000000000000001,27,152,"(1,)",d9d6325d
16,0.5751173708920188,0.5730046948356808,0.006758769976003752,0.5667218360524459,0.006259648912054288,0.5667218360524459,0.006259648912054312,0.5727699530516432,0.0,0.5602240781778786,0.0,0.5602240781778786,0.0,0.5751173708920188,0.0,0.5582863071124738,0.0,0.558286307112474,0.0,1699449925,True,1,9f2ea7ad,2023-11-08_13-25-25,4.876173496246338,4.876173496246338,315729,0ec30bcea331,172.17.0.2,4.876173496246338,1,,0.8,19,507,"(4,)",9f2ea7ad
17,0.5727699530516432,0.5598591549295775,0.006660216412728196,0.5618702125730856,0.007040721552783108,0.5618702125730856,0.007040721552783116,0.5492957746478874,0.0,0.5469950613934244,0.0,0.5469950613934244,0.0,0.5727699530516432,0.0,0.5677781204481105,0.0,0.5677781204481105,0.0,1699449931,True,1,2a5aa15d,2023-11-08_13-25-31,5.288324356079102,5.288324356079102,315729,0ec30bcea331,172.17.0.2,5.288324356079102,1,,0.8,25,444,"(1,)",2a5aa15d
18,0.6197183098591549,0.6157276995305165,0.008723429190639464,0.6184964214406123,0.008588337427505184,0.6184964214406123,0.008588337427505184,0.6197183098591549,0.0,0.6113891532506731,0.0,0.6113891532506729,0.0,0.5633802816901409,0.0,0.519105411782614,0.0,0.5191054117826142,0.0,1699449938,True,1,5115e61b,2023-11-08_13-25-38,7.332117319107056,7.332117319107056,315729,0ec30bcea331,172.17.0.2,7.332117319107056,1,,0.8,76,467,"(7,)",5115e61b
19,0.6373239436619718,0.6373239436619718,0.006742444420819264,0.6385769019528343,0.006687603433355936,0.6385769019528343,0.006687603433355915,0.6267605633802817,0.0,0.6209897746296548,0.0,0.6209897746296549,0.0,0.6032863849765259,0.0,0.5961318644344468,0.0,0.5961318644344468,0.0,1699449946,False,1,e5fac65d,2023-11-08_13-25-46,7.897758960723877,7.897758960723877,315729,0ec30bcea331,172.17.0.2,7.897758960723877,1,,0.4,75,281,"(11,)",e5fac65d
20,0.6039906103286385,0.6039906103286385,0.004929577464788716,0.599101986713966,0.004961392547889289,0.599101986713966,0.0049613925478892915,0.5633802816901409,0.0,0.548642818984299,0.0,0.5486428189842989,0.0,0.5985915492957746,0.0,0.5818830948059253,0.0,0.5818830948059254,0.0,1699449957,True,1,552297c2,2023-11-08_13-25-57,11.08997893333435,11.08997893333435,315729,0ec30bcea331,172.17.0.2,11.08997893333435,1,,0.1,61,380,"(5,)",552297c2
21,0.627699530516432,0.627699530516432,0.00834572245757333,0.6259642937106376,0.007467169490999498,0.6259642937106374,0.007467169490999471,0.5868544600938967,0.0,0.587446454427038,0.0,0.587446454427038,0.0,0.5610328638497653,0.0,0.5190644273810204,0.0,0.5190644273810204,0.0,1699449967,True,1,0e357a1f,2023-11-08_13-26-07,11.27400541305542,11.27400541305542,328706,0ec30bcea331,172.17.0.2,11.27400541305542,1,,0.2,90,129,"(9,)",0e357a1f
22,0.6345070422535211,0.6345070422535211,0.004816498715653335,0.6280515180635061,0.0050694044408753,0.628051518063506,0.005069404440875295,0.5938967136150235,0.0,0.5794696785807384,0.0,0.5794696785807384,0.0,0.5821596244131455,0.0,0.5234998787955074,0.0,0.5234998787955074,0.0,1699449966,False,1,c134f0b1,2023-11-08_13-26-06,8.711030960083008,8.711030960083008,315729,0ec30bcea331,172.17.0.2,8.711030960083008,1,,0.30000000000000004,64,391,"(6,)",c134f0b1
23,0.6347417840375587,0.6347417840375587,0.006488392000509504,0.6281630674370706,0.006426762202078324,0.6281630674370705,0.006426762202078317,0.6056338028169014,0.0,0.5962400339397922,0.0,0.5962400339397921,0.0,0.5704225352112676,0.0,0.5192822936305751,0.0,0.5192822936305751,0.0,1699449974,False,1,b04d7c23,2023-11-08_13-26-14,8.581909894943237,8.581909894943237,315729,0ec30bcea331,172.17.0.2,8.581909894943237,1,,0.6000000000000001,67,340,"(9,)",b04d7c23
24,0.6431924882629108,0.6431924882629108,0.0060306256237864335,0.6402405451436547,0.006187319228223821,0.6402405451436547,0.006187319228223853,0.6384976525821596,0.0,0.6402229035749922,0.0,0.6402229035749922,0.0,0.596244131455399,0.0,0.5641146344956613,0.0,0.5641146344956613,0.0,1699449974,False,1,4a3be1c3,2023-11-08_13-26-14,7.580073595046997,7.580073595046997,328706,0ec30bcea331,172.17.0.2,7.580073595046997,1,,0.30000000000000004,46,177,"(7,)",4a3be1c3
25,0.6607981220657277,0.6607981220657277,0.005480102126727124,0.6523302625529531,0.005924316826161604,0.652330262552953,0.005924316826161577,0.6502347417840375,0.0,0.6393713231948527,0.0,0.6393713231948526,0.0,0.5915492957746479,0.0,0.5322193027463836,0.0,0.5322193027463836,0.0,1699449983,False,1,cc914d6c,2023-11-08_13-26-23,8.433422803878784,8.433422803878784,315729,0ec30bcea331,172.17.0.2,8.433422803878784,1,,0.2,88,370,"(9,)",cc914d6c
26,0.6335680751173709,0.6335680751173709,0.006919907499053328,0.6285377241861013,0.0074981511303265705,0.6285377241861014,0.007498151130326561,0.6291079812206573,0.0,0.6234162396269181,0.0,0.623416239626918,0.0,0.5845070422535211,0.0,0.5400500600495182,0.0,0.5400500600495183,0.0,1699449982,True,1,4b40e421,2023-11-08_13-26-22,7.870086908340454,7.870086908340454,328706,0ec30bcea331,172.17.0.2,7.870086908340454,1,,0.7000000000000001,70,128,"(10,)",4b40e421
27,0.6176056338028169,0.6176056338028169,0.006919907499053375,0.6148639959323873,0.006518263053361945,0.6148639959323873,0.006518263053361984,0.6150234741784038,0.0,0.6089992144950767,0.0,0.6089992144950767,0.0,0.5610328638497653,0.0,0.5020400991406981,0.0,0.502040099140698,0.0,1699449990,True,1,410a54be,2023-11-08_13-26-30,7.93051815032959,7.93051815032959,328706,0ec30bcea331,172.17.0.2,7.93051815032959,1,,1.0,53,407,"(2,)",410a54be
28,0.6213615023474178,0.6213615023474178,0.007276995305164333,0.6251625745926253,0.007176349292825484,0.6251625745926251,0.007176349292825492,0.6173708920187794,0.0,0.6134446469371628,0.0,0.6134446469371629,0.0,0.5657276995305164,0.0,0.5183696540019724,0.0,0.5183696540019724,0.0,1699449990,True,1,a9fda2da,2023-11-08_13-26-30,7.602754831314087,7.602754831314087,315729,0ec30bcea331,172.17.0.2,7.602754831314087,1,,0.6000000000000001,85,343,"(5,)",a9fda2da
29,0.5938967136150235,0.5920187793427231,0.005730777284382008,0.5807224001820422,0.005310858135143274,0.5807224001820422,0.005310858135143263,0.5938967136150235,0.0,0.5763207914207532,0.0,0.5763207914207531,0.0,0.5774647887323944,0.0,0.545335500846336,0.0,0.545335500846336,0.0,1699450003,True,1,67e7f3ca,2023-11-08_13-26-43,12.611985445022583,12.611985445022583,328706,0ec30bcea331,172.17.0.2,12.611985445022583,1,,0.1,89,300,"(6,)",67e7f3ca
30,0.6549295774647887,0.6129107981220657,0.008296054951677144,0.6062250752673137,0.00802842297540165,0.6062250752673137,0.008028422975401682,0.5915492957746479,0.0,0.5832776037384567,0.0,0.5832776037384567,0.0,0.6549295774647887,0.0,0.6389938082404542,0.0,0.6389938082404543,0.0,1699450000,False,1,eebe5e35,2023-11-08_13-26-40,9.655412912368774,9.655412912368774,315729,0ec30bcea331,172.17.0.2,9.655412912368774,1,,0.2,85,356,"(0,)",eebe5e35
31,0.6152582159624413,0.6152582159624413,0.0038500515180414667,0.60690853186259,0.003664379208641187,0.60690853186259,0.003664379208641182,0.5985915492957746,0.0,0.5854725947431126,0.0,0.5854725947431126,0.0,0.5774647887323944,0.0,0.5519783441952949,0.0,0.5519783441952948,0.0,1699450011,True,1,d6e8da87,2023-11-08_13-26-51,10.417694091796875,10.417694091796875,315729,0ec30bcea331,172.17.0.2,10.417694091796875,1,,0.2,71,309,"(4,)",d6e8da87
