,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/temperature_head,config/latent_dim,config/transform_funcs,logdir
566,0.5830985915492957,0.5830985915492957,0.0047182514653149495,0.5244517980535346,0.003946245249290998,0.5244517980535346,0.003946245249290978,0.5727699530516432,0.0,0.5116443590241959,0.0,0.5116443590241959,0.0,0.5610328638497653,0.0,0.4958261920093981,0.0,0.49582619200939815,0.0,1700060858,True,1,f0c523cc,2023-11-15_15-07-38,26.773813486099243,26.773813486099243,48352,c7ab4190cebd,172.17.0.3,26.773813486099243,1,,0.4,3,"(2, 4, 5, 10)",f0c523cc
567,0.5915492957746479,0.5612676056338028,0.007957019369332522,0.508106536164185,0.007984227068454943,0.508106536164185,0.00798422706845493,0.5845070422535211,0.0,0.5258224344678015,0.0,0.5258224344678015,0.0,0.5915492957746479,0.0,0.5288359426509551,0.0,0.5288359426509551,0.0,1700060868,True,1,7859edba,2023-11-15_15-07-48,34.349937200546265,34.349937200546265,45503,c7ab4190cebd,172.17.0.3,34.349937200546265,1,,0.1,10,"(2, 3, 4)",7859edba
568,0.6335680751173708,0.6335680751173708,0.005399061032863829,0.62951754897356,0.0050565500994756065,0.62951754897356,0.005056550099475616,0.6150234741784038,0.0,0.6093812350057045,0.0,0.6093812350057045,0.0,0.5892018779342723,0.0,0.533299008977238,0.0,0.5332990089772381,0.0,1700060888,True,1,daa9d0ad,2023-11-15_15-08-08,39.006715059280396,39.006715059280396,49040,c7ab4190cebd,172.17.0.3,39.006715059280396,1,,0.30000000000000004,29,"(2, 4, 8)",daa9d0ad
569,0.6333333333333334,0.6333333333333334,0.007482336831224992,0.622319329525272,0.007116419388600073,0.622319329525272,0.0071164193886000884,0.568075117370892,0.0,0.560033932914913,0.0,0.5600339329149131,0.0,0.5915492957746479,0.0,0.5403925973753647,0.0,0.5403925973753647,0.0,1700060896,True,1,296c45c7,2023-11-15_15-08-16,44.65560817718506,44.65560817718506,45900,c7ab4190cebd,172.17.0.3,44.65560817718506,1,,0.1,36,"(3, 4, 5, 10)",296c45c7
570,0.6389671361502347,0.6389671361502347,0.00645433196472654,0.6308681924328908,0.006786822951100516,0.6308681924328908,0.0067868229511004845,0.5915492957746479,0.0,0.59038337125427,0.0,0.5903833712542699,0.0,0.5938967136150235,0.0,0.5666555151225001,0.0,0.5666555151225001,0.0,1700060894,False,1,2a8d852d,2023-11-15_15-08-14,39.562806129455566,39.562806129455566,44110,c7ab4190cebd,172.17.0.3,39.562806129455566,1,,0.2,38,"(0, 2, 10)",2a8d852d
571,0.5833333333333333,0.5833333333333333,0.0071393926411950906,0.5808606320956713,0.006939539914907462,0.5808606320956713,0.006939539914907457,0.5633802816901409,0.0,0.562251853751401,0.0,0.5622518537514009,0.0,0.5422535211267606,0.0,0.494449311264995,0.0,0.494449311264995,0.0,1700060896,True,1,d14f0037,2023-11-15_15-08-16,38.18374490737915,38.18374490737915,48352,c7ab4190cebd,172.17.0.3,38.18374490737915,1,,0.4,54,"(2, 8, 10, 11)",d14f0037
572,0.6091549295774649,0.6091549295774649,0.007216162511239159,0.6024482705457787,0.007319728397878666,0.6024482705457787,0.007319728397878617,0.57981220657277,0.0,0.5737859379061424,0.0,0.5737859379061423,0.0,0.5751173708920188,0.0,0.5218221489584004,0.0,0.5218221489584003,0.0,1700060903,True,1,a68c9ca7,2023-11-15_15-08-23,34.855515241622925,34.855515241622925,45503,c7ab4190cebd,172.17.0.3,34.855515241622925,1,,0.2,45,"(3, 4, 10, 11)",a68c9ca7
573,0.6948356807511737,0.6894366197183099,0.006303155672346264,0.6862949925067838,0.00613566293958988,0.6862949925067838,0.006135662939589899,0.6948356807511737,0.0,0.6924093040324327,0.0,0.6924093040324328,0.0,0.6549295774647887,0.0,0.6367333396688032,0.0,0.6367333396688033,0.0,1700060937,False,1,0c5156a5,2023-11-15_15-08-57,48.982441663742065,48.982441663742065,49040,c7ab4190cebd,172.17.0.3,48.982441663742065,1,,0.1,42,"(1, 2, 5, 10)",0c5156a5
574,0.595774647887324,0.595774647887324,0.006947722341290492,0.5910341348187178,0.007014446265378558,0.5910341348187178,0.007014446265378535,0.5610328638497653,0.0,0.5591946435761755,0.0,0.5591946435761754,0.0,0.5492957746478874,0.0,0.5014627413832622,0.0,0.5014627413832622,0.0,1700060933,True,1,c31932f2,2023-11-15_15-08-53,38.836304664611816,38.836304664611816,44110,c7ab4190cebd,172.17.0.3,38.836304664611816,1,,0.30000000000000004,34,"(0, 2, 3, 6)",c31932f2
575,0.5842723004694835,0.5842723004694835,0.0058872939924809724,0.5921420203222558,0.0058304402112855265,0.5921420203222558,0.005830440211285547,0.5563380281690141,0.0,0.5693734695361625,0.0,0.5693734695361625,0.0,0.528169014084507,0.0,0.49702003103056486,0.0,0.49702003103056486,0.0,1700060936,True,1,c11ef169,2023-11-15_15-08-56,40.131351709365845,40.131351709365845,48352,c7ab4190cebd,172.17.0.3,40.131351709365845,1,,0.6000000000000001,30,"(0, 4, 7)",c11ef169
576,0.6471830985915493,0.6471830985915493,0.009681497947089798,0.6460202320272498,0.009858326430149084,0.6460202320272498,0.009858326430149122,0.6314553990610329,0.0,0.6281478681153304,0.0,0.6281478681153304,0.0,0.5751173708920188,0.0,0.5261585914951035,0.0,0.5261585914951036,0.0,1700060937,False,1,7b867443,2023-11-15_15-08-57,40.80036234855652,40.80036234855652,45900,c7ab4190cebd,172.17.0.3,40.80036234855652,1,,0.2,47,"(2, 3, 4, 9)",7b867443
