,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/temperature_head,config/latent_dim,config/batch_size,config/transform_funcs,logdir,num_params,num_trainable_params,error_type,error_message,error_traceback
916,0.8651564185544768,0.8433656957928802,0.0021330873714439044,0.8413315323343384,0.002208439584542282,0.8413315323343387,0.0022084395845422544,0.8435814455231931,0.0,0.841443815079912,0.0,0.8414438150799122,0.0,0.8651564185544768,0.0,0.864959306049044,0.0,0.864959306049044,0.0,1698703486,False,1,4773c7c1,2023-10-30_22-04-46,121.62390327453613,121.62390327453613,1080747,6758e5a243b0,172.17.0.4,121.62390327453613,1,,0.30000000000000004,76,227,"(2,)",4773c7c1,,,,,
917,0.8176914778856527,0.7802588996763755,0.010755616352387068,0.7755397739319833,0.01111025371424886,0.7755397739319833,0.01111025371424888,0.7529665587918015,0.0,0.7459014549307957,0.0,0.7459014549307958,0.0,0.8176914778856527,0.0,0.812844274900231,0.0,0.8128442749002309,0.0,1698703521,True,1,74d5f271,2023-10-30_22-05-21,145.93720054626465,145.93720054626465,1077131,6758e5a243b0,172.17.0.4,145.93720054626465,1,,0.1,74,240,"(1,)",74d5f271,,,,,
918,0.8274541531823084,0.8274541531823084,0.002368952670549919,0.8246443184441405,0.002352510629981699,0.8246443184441405,0.002352510629981721,0.7745415318230853,0.0,0.7697577604232096,0.0,0.7697577604232099,0.0,0.7653721682847896,0.0,0.7557003179899832,0.0,0.7557003179899833,0.0,1698703525,True,1,05b7d220,2023-10-30_22-05-25,147.44122791290283,147.44122791290283,1081530,6758e5a243b0,172.17.0.4,147.44122791290283,1,,0.2,83,171,"(6,)",05b7d220,,,,,
919,0.7725997842502698,0.7725997842502698,0.011758360302049626,0.7669933572435131,0.012334835953205916,0.7669933572435131,0.0123348359532059,0.7303128371089536,0.0,0.7218601104022383,0.0,0.7218601104022381,0.0,0.756202804746494,0.0,0.7553110210846498,0.0,0.7553110210846498,0.0,1698703599,True,1,501a1b03,2023-10-30_22-06-39,214.5599730014801,214.5599730014801,1081133,6758e5a243b0,172.17.0.4,214.5599730014801,1,,0.1,45,181,"(9,)",501a1b03,,,,,
920,0.8382955771305285,0.8382955771305285,0.002481121898597614,0.8361214372377235,0.002481778513159155,0.8361214372377235,0.0024817785131591528,0.8274002157497303,0.0,0.825593517844808,0.0,0.8255935178448077,0.0,0.8349514563106796,0.0,0.8355400409934796,0.0,0.8355400409934794,0.0,1698703626,True,1,c65855c7,2023-10-30_22-07-06,160.96124267578125,160.96124267578125,1080357,6758e5a243b0,172.17.0.4,160.96124267578125,1,,0.2,86,212,"(2,)",c65855c7,,,,,
921,0.7885652642934197,0.780151024811219,0.006197878067841728,0.7759076900441844,0.006894141833371244,0.7759076900441843,0.006894141833371179,0.7885652642934197,0.0,0.7850147069811889,0.0,0.7850147069811888,0.0,0.7831715210355987,0.0,0.7789347770474288,0.0,0.7789347770474289,0.0,1698703609,True,1,94e03809,2023-10-30_22-06-49,122.86808705329895,122.86808705329895,1080747,6758e5a243b0,172.17.0.4,122.86808705329895,1,,0.30000000000000004,35,196,"(0,)",94e03809,,,,,
922,0.8122977346278317,0.7912621359223302,0.004341879567960759,0.7876263493736466,0.004835396778869094,0.7876263493736466,0.004835396778869093,0.8122977346278317,0.0,0.8097696583642517,0.0,0.8097696583642517,0.0,0.8117583603020496,0.0,0.8128768416348903,0.0,0.8128768416348902,0.0,1698703670,True,1,e8ed029a,2023-10-30_22-07-50,149.12867307662964,149.12867307662964,1077131,6758e5a243b0,172.17.0.4,149.12867307662964,1,,0.2,88,164,"(2,)",e8ed029a,,,,,
923,0.8284789644012945,0.8142934196332252,0.005913717424500626,0.8121419572727294,0.005911795958136224,0.8121419572727293,0.005911795958136212,0.785329018338727,0.0,0.7819704422329864,0.0,0.7819704422329863,0.0,0.8284789644012945,0.0,0.8297199815857454,0.0,0.8297199815857456,0.0,1698703672,True,1,7ec1a3d3,2023-10-30_22-07-52,147.21731734275818,147.21731734275818,1081530,6758e5a243b0,172.17.0.4,147.21731734275818,1,,0.1,79,155,"(11,)",7ec1a3d3,,,,,
924,0.825782092772384,0.8222222222222222,0.003571293496709144,0.8195463053461157,0.0035920810342393627,0.8195463053461157,0.0035920810342393765,0.825782092772384,0.0,0.8228161804101136,0.0,0.8228161804101137,0.0,0.7783171521035599,0.0,0.774235482286128,0.0,0.774235482286128,0.0,1698703759,True,1,b9cc02af,2023-10-30_22-09-19,160.08577942848206,160.08577942848206,1081133,6758e5a243b0,172.17.0.4,160.08577942848206,1,,0.2,82,142,"(10,)",b9cc02af,,,,,
925,0.8651564185544768,0.8544228694714132,0.002010209833180609,0.8523413247263789,0.002023832252614225,0.8523413247263788,0.0020238322526142096,0.8516720604099245,0.0,0.8498658677989802,0.0,0.8498658677989804,0.0,0.8651564185544768,0.0,0.8637815042450526,0.0,0.8637815042450526,0.0,1698703741,False,1,a5939ed0,2023-10-30_22-09-01,132.54486918449402,132.54486918449402,1080747,6758e5a243b0,172.17.0.4,132.54486918449402,1,,0.1,59,202,"(2,)",a5939ed0,,,,,
926,0.8500539374325782,0.8268069039913701,0.0027655757806460293,0.8250396641113655,0.0027179542617519585,0.8250396641113656,0.002717954261751985,0.8295577130528586,0.0,0.8272502843255638,0.0,0.8272502843255636,0.0,0.8500539374325782,0.0,0.8495716399370502,0.0,0.8495716399370502,0.0,1698703743,False,1,926f7b03,2023-10-30_22-09-03,116.4164686203003,116.4164686203003,1080357,6758e5a243b0,172.17.0.4,116.4164686203003,1,,0.30000000000000004,77,256,"(2,)",926f7b03,,,,,
