,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/temperature,config/latent_dim,config/transform_funcs,logdir
587,0.7988095238095239,0.7988095238095239,0.00784269956761935,0.8006583232748694,0.0074442429060153715,0.8006583232748694,0.007444242906015427,0.7714285714285715,0.0,0.771343105210701,0.0,0.771343105210701,0.0,0.7571428571428571,0.0,0.7520716170677465,0.0,0.7520716170677466,0.0,1699785166,False,1,d3aed95c,2023-11-12_10-32-46,108.68487620353699,108.68487620353699,112710,59d6454cd9f4,172.17.0.2,108.68487620353699,1,,0.6000000000000001,47,"(1, 3, 10, 11)",d3aed95c
588,0.6633333333333333,0.6633333333333333,0.008123201004396173,0.6508928257120434,0.008499367794149466,0.6508928257120434,0.008499367794149457,0.6357142857142857,0.0,0.6318336008154471,0.0,0.6318336008154471,0.0,0.6023809523809524,0.0,0.5748721998473242,0.0,0.5748721998473243,0.0,1699785138,True,1,f4a2cd26,2023-11-12_10-32-18,63.997130155563354,63.997130155563354,112317,59d6454cd9f4,172.17.0.2,63.997130155563354,1,,0.6000000000000001,37,"(2, 5, 7, 11)",f4a2cd26
589,0.8207142857142857,0.8207142857142857,0.007755474988048723,0.8206004843424346,0.007742067819985373,0.8206004843424346,0.007742067819985394,0.7952380952380952,0.0,0.7967772679514425,0.0,0.7967772679514425,0.0,0.7880952380952381,0.0,0.7808829824058482,0.0,0.7808829824058482,0.0,1699785170,False,1,8a018634,2023-11-12_10-32-50,74.14779043197632,74.14779043197632,113101,59d6454cd9f4,172.17.0.2,74.14779043197632,1,,0.5,32,"(1, 5, 6, 11)",8a018634
590,0.7516666666666667,0.7516666666666667,0.0073037436429418635,0.7572869407949139,0.0073419761982645455,0.757286940794914,0.007341976198264547,0.6952380952380952,0.0,0.6991875977707154,0.0,0.6991875977707154,0.0,0.6738095238095239,0.0,0.6574888992852684,0.0,0.6574888992852685,0.0,1699785182,True,1,bf098ad8,2023-11-12_10-33-02,71.95743036270142,71.95743036270142,109108,59d6454cd9f4,172.17.0.2,71.95743036270142,1,,0.5,35,"(0, 8)",bf098ad8
591,0.6045238095238095,0.6045238095238095,0.008937297323392138,0.598516155918228,0.009581575603542728,0.598516155918228,0.009581575603542699,0.569047619047619,0.0,0.5632463803948767,0.0,0.5632463803948767,0.0,0.5476190476190477,0.0,0.5132233274318054,0.0,0.5132233274318054,0.0,1699785160,True,1,6a50ef6b,2023-11-12_10-32-40,32.76993799209595,32.76993799209595,113490,59d6454cd9f4,172.17.0.2,32.76993799209595,1,,0.6000000000000001,39,"(2, 3, 6, 9)",6a50ef6b
592,0.7635714285714286,0.7635714285714286,0.004265826873135486,0.7656923231504301,0.0040926903320135325,0.7656923231504301,0.00409269033201354,0.7285714285714285,0.0,0.7332541747998036,0.0,0.7332541747998037,0.0,0.6857142857142857,0.0,0.668808906301552,0.0,0.6688089063015521,0.0,1699785189,False,1,cb33bac8,2023-11-12_10-33-09,51.139917612075806,51.139917612075806,112317,59d6454cd9f4,172.17.0.2,51.139917612075806,1,,0.7000000000000001,38,"(0, 5, 6, 7)",cb33bac8
593,0.5864285714285714,0.5864285714285714,0.010048070402861523,0.5838941632087692,0.010774504676644231,0.5838941632087692,0.01077450467664424,0.55,0.0,0.5471773470714335,0.0,0.5471773470714335,0.0,0.49047619047619045,0.0,0.44408194598378964,0.0,0.44408194598378964,0.0,1699785180,True,1,df6a7ba6,2023-11-12_10-33-00,19.90484309196472,19.90484309196472,113490,59d6454cd9f4,172.17.0.2,19.90484309196472,1,,0.5,26,"(0, 3, 5, 9)",df6a7ba6
594,0.7261904761904763,0.7261904761904763,0.007968190728895952,0.733414330304743,0.007178703712683444,0.7334143303047429,0.007178703712683416,0.6404761904761904,0.0,0.6477456600818726,0.0,0.6477456600818726,0.0,0.6047619047619047,0.0,0.5986848588831688,0.0,0.5986848588831688,0.0,1699785198,True,1,fc72e2aa,2023-11-12_10-33-18,31.78918433189392,31.78918433189392,112710,59d6454cd9f4,172.17.0.2,31.78918433189392,1,,0.6000000000000001,30,"(3, 7)",fc72e2aa
595,0.6430952380952382,0.6430952380952382,0.00651615818257336,0.6269085077396221,0.0060286045601009985,0.6269085077396221,0.006028604560101035,0.6261904761904762,0.0,0.6109659743934209,0.0,0.6109659743934208,0.0,0.5833333333333334,0.0,0.5639375289209906,0.0,0.5639375289209906,0.0,1699785246,True,1,40a8afd7,2023-11-12_10-34-06,76.07790279388428,76.07790279388428,113101,59d6454cd9f4,172.17.0.2,76.07790279388428,1,,0.7000000000000001,33,"(0, 2, 6, 10)",40a8afd7
596,0.6188095238095238,0.6188095238095238,0.005778410047386477,0.6081134182493664,0.006118666221543835,0.6081134182493664,0.006118666221543845,0.5857142857142857,0.0,0.5818299348364944,0.0,0.5818299348364944,0.0,0.5976190476190476,0.0,0.5700363249756775,0.0,0.5700363249756775,0.0,1699785271,True,1,e1f0b9a8,2023-11-12_10-34-31,90.66799545288086,90.66799545288086,113490,59d6454cd9f4,172.17.0.2,90.66799545288086,1,,0.6000000000000001,43,"(2, 5, 8, 10)",e1f0b9a8
597,0.7416666666666667,0.7416666666666667,0.00658538889806636,0.7496173314120596,0.006615119834939753,0.7496173314120597,0.006615119834939765,0.6880952380952381,0.0,0.6952485394252251,0.0,0.6952485394252252,0.0,0.6571428571428571,0.0,0.6465513793951279,0.0,0.6465513793951277,0.0,1699785243,True,1,15d00cff,2023-11-12_10-34-03,61.50703430175781,61.50703430175781,109108,59d6454cd9f4,172.17.0.2,61.50703430175781,1,,0.5,38,"(0, 1, 5, 9)",15d00cff
