,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/min_delta,config/temperature,config/batch_size,config/latent_dim,logdir
0,0.6264705882352941,0.5952941176470589,0.013034423415388427,0.5923143841867163,0.012591181402164425,0.5923143841867164,0.012591181402164418,0.47941176470588237,0.0,0.4590779636536359,0.0,0.4590779636536359,0.0,0.6264705882352941,0.0,0.5813602440512392,0.0,0.5813602440512392,0.0,1699958306,False,1,23a22a1d,2023-11-14_10-38-26,19.031304121017456,19.031304121017456,364503,59d6454cd9f4,172.17.0.2,19.031304121017456,1,,0.324,0.5,341,89,23a22a1d
1,0.6441176470588236,0.6144117647058824,0.016293692922899464,0.6121023448858729,0.016388673030326772,0.6121023448858729,0.016388673030326793,0.49117647058823527,0.0,0.4847376794537494,0.0,0.4847376794537495,0.0,0.6441176470588236,0.0,0.6004557694815558,0.0,0.6004557694815558,0.0,1699958321,False,1,10ba4b88,2023-11-14_10-38-41,25.406854391098022,25.406854391098022,368131,59d6454cd9f4,172.17.0.2,25.406854391098022,1,,0.606,1.3,468,172,10ba4b88
2,0.6529411764705882,0.6526470588235295,0.014495554741590129,0.6491592490260152,0.014156611592274253,0.6491592490260152,0.01415661159227425,0.5352941176470588,0.0,0.5389883973172382,0.0,0.5389883973172384,0.0,0.6529411764705882,0.0,0.6076531502451975,0.0,0.6076531502451976,0.0,1699958335,False,1,c5c25c6b,2023-11-14_10-38-55,29.736424922943115,29.736424922943115,368519,59d6454cd9f4,172.17.0.2,29.736424922943115,1,,0.54,1.5,169,252,c5c25c6b
3,0.6882352941176471,0.6670588235294119,0.017686231033379903,0.6637424413615001,0.017726740067157666,0.6637424413615001,0.017726740067157656,0.6264705882352941,0.0,0.6251164452734091,0.0,0.6251164452734091,0.0,0.6882352941176471,0.0,0.6428763353587419,0.0,0.6428763353587419,0.0,1699958337,False,1,5bdda714,2023-11-14_10-38-57,30.88449239730835,30.88449239730835,364503,59d6454cd9f4,172.17.0.2,30.88449239730835,1,,0.608,0.7000000000000001,258,273,5bdda714
4,0.6235294117647058,0.6235294117647058,0.012197906678428053,0.6200876137774104,0.012738025858862512,0.6200876137774104,0.0127380258588625,0.5235294117647059,0.0,0.5176349066293873,0.0,0.5176349066293873,0.0,0.6176470588235294,0.0,0.5723005548485762,0.0,0.5723005548485763,0.0,1699958339,True,1,65d60803,2023-11-14_10-38-59,22.363293886184692,22.363293886184692,369172,59d6454cd9f4,172.17.0.2,22.363293886184692,1,,0.179,0.4,380,138,65d60803
5,0.7741176470588236,0.7741176470588236,0.014215348204228912,0.7727998842750841,0.014549256559753605,0.7727998842750841,0.014549256559753648,0.6941176470588235,0.0,0.6921905862451507,0.0,0.6921905862451507,0.0,0.7441176470588236,0.0,0.7055594623203698,0.0,0.7055594623203698,0.0,1699958350,False,1,562658f5,2023-11-14_10-39-10,28.790386199951172,28.790386199951172,368131,59d6454cd9f4,172.17.0.2,28.790386199951172,1,,0.212,0.2,435,85,562658f5
6,0.6608823529411766,0.6608823529411766,0.008729895340974007,0.6558435942724868,0.009939583633731538,0.6558435942724868,0.009939583633731569,0.5647058823529412,0.0,0.5586597798269868,0.0,0.5586597798269868,0.0,0.6529411764705882,0.0,0.5965393396939589,0.0,0.5965393396939589,0.0,1699958362,True,1,b6d1fef9,2023-11-14_10-39-22,26.5150887966156,26.5150887966156,368519,59d6454cd9f4,172.17.0.2,26.5150887966156,1,,0.496,2.0,186,218,b6d1fef9
7,0.6852941176470588,0.6491176470588236,0.017252952207132303,0.6445215057220193,0.017045572087000853,0.6445215057220193,0.01704557208700085,0.5823529411764706,0.0,0.5813621911482479,0.0,0.5813621911482478,0.0,0.6852941176470588,0.0,0.6469291923149909,0.0,0.6469291923149909,0.0,1699958371,False,1,e22848fc,2023-11-14_10-39-31,33.63263297080994,33.63263297080994,364503,59d6454cd9f4,172.17.0.2,33.63263297080994,1,,0.45,1.2000000000000002,270,350,e22848fc
8,0.6647058823529411,0.6405882352941177,0.01604491964351276,0.6331047483319956,0.017359567085072497,0.6331047483319956,0.01735956708507252,0.6411764705882353,0.0,0.6400986613230915,0.0,0.6400986613230916,0.0,0.6647058823529411,0.0,0.6144672718585762,0.0,0.6144672718585763,0.0,1699958373,True,1,617ff322,2023-11-14_10-39-33,33.64504146575928,33.64504146575928,369172,59d6454cd9f4,172.17.0.2,33.64504146575928,1,,0.714,1.6,133,357,617ff322
9,0.6873529411764706,0.6873529411764706,0.01522893348941132,0.6840554083154079,0.01563060931554353,0.6840554083154079,0.015630609315543505,0.5470588235294118,0.0,0.5452925144095944,0.0,0.5452925144095944,0.0,0.6823529411764706,0.0,0.648233603868505,0.0,0.6482336038685049,0.0,1699958383,False,1,0c90f844,2023-11-14_10-39-43,33.257102966308594,33.257102966308594,368131,59d6454cd9f4,172.17.0.2,33.257102966308594,1,,0.215,1.3,401,354,0c90f844
