,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/temperature,config/latent_dim,config/transform_funcs,logdir
298,0.6976190476190476,0.6976190476190476,0.006023386019368342,0.7005556054350351,0.005629391829842636,0.7005556054350351,0.005629391829842677,0.6523809523809524,0.0,0.6581070444414111,0.0,0.6581070444414112,0.0,0.6095238095238096,0.0,0.5881448216396364,0.0,0.5881448216396364,0.0,1699782512,True,1,df302020,2023-11-12_09-48-32,58.52415084838867,58.52415084838867,113103,59d6454cd9f4,172.17.0.2,58.52415084838867,1,,0.6000000000000001,183,"(2, 6, 8, 9)",df302020
299,0.8104761904761905,0.8104761904761905,0.004902681019517602,0.8136846355134277,0.004767461649163413,0.8136846355134276,0.004767461649163363,0.8,0.0,0.801000192000405,0.0,0.8010001920004048,0.0,0.7166666666666667,0.0,0.7009665206794676,0.0,0.7009665206794676,0.0,1699782560,False,1,034c8a5c,2023-11-12_09-49-20,73.68021750450134,73.68021750450134,112709,59d6454cd9f4,172.17.0.2,73.68021750450134,1,,0.5,234,"(1, 7, 8)",034c8a5c
300,0.6761904761904762,0.6761904761904762,0.0072217861371919635,0.6600403236824512,0.00719899339705087,0.6600403236824512,0.007198993397050927,0.6261904761904762,0.0,0.5995525492124584,0.0,0.5995525492124585,0.0,0.6023809523809524,0.0,0.5713924311782018,0.0,0.5713924311782019,0.0,1699782584,True,1,5bd2705d,2023-11-12_09-49-44,72.04321908950806,72.04321908950806,113103,59d6454cd9f4,172.17.0.2,72.04321908950806,1,,0.7000000000000001,150,"(1, 2, 4)",5bd2705d
301,0.7238095238095238,0.7080952380952381,0.0067511651803608885,0.7193752138816134,0.006665774557944602,0.7193752138816134,0.00666577455794456,0.7238095238095238,0.0,0.7289714003654785,0.0,0.7289714003654785,0.0,0.6190476190476191,0.0,0.612168581728574,0.0,0.6121685817285741,0.0,1699782605,True,1,efa7f302,2023-11-12_09-50-05,83.70402836799622,83.70402836799622,109078,59d6454cd9f4,172.17.0.2,83.70402836799622,1,,0.5,195,"(0, 3, 9, 10)",efa7f302
302,0.6423809523809524,0.6423809523809524,0.009747375947837495,0.6361878949131345,0.009515953668853801,0.6361878949131345,0.009515953668853798,0.5857142857142857,0.0,0.5780823113448671,0.0,0.5780823113448671,0.0,0.5595238095238095,0.0,0.5194683886656858,0.0,0.5194683886656858,0.0,1699782579,True,1,f4cf66a9,2023-11-12_09-49-39,57.28850173950195,57.28850173950195,113528,59d6454cd9f4,172.17.0.2,57.28850173950195,1,,0.6000000000000001,202,"(2, 3, 9, 10)",f4cf66a9
303,0.7090476190476191,0.7090476190476191,0.00571428571428573,0.6980879723250908,0.006342260585187557,0.6980879723250908,0.0063422605851875665,0.6404761904761904,0.0,0.6408391644203312,0.0,0.6408391644203313,0.0,0.6714285714285714,0.0,0.6606999923346649,0.0,0.6606999923346649,0.0,1699782602,True,1,cec804d4,2023-11-12_09-50-02,61.81540894508362,61.81540894508362,112319,59d6454cd9f4,172.17.0.2,61.81540894508362,1,,0.9,162,"(1, 2, 5, 6)",cec804d4
304,0.6747619047619049,0.6747619047619049,0.0084649470641101,0.6527286667203209,0.010664423239664505,0.652728666720321,0.010664423239664472,0.6214285714285714,0.0,0.6139294394010716,0.0,0.6139294394010714,0.0,0.5904761904761905,0.0,0.5552782478017733,0.0,0.5552782478017734,0.0,1699782638,True,1,69745e04,2023-11-12_09-50-38,77.82912230491638,77.82912230491638,112709,59d6454cd9f4,172.17.0.2,77.82912230491638,1,,0.6000000000000001,261,"(0, 1, 2, 4)",69745e04
305,0.7152380952380952,0.7152380952380952,0.010168645954315539,0.7226094984131377,0.010190650195325888,0.7226094984131377,0.010190650195325852,0.669047619047619,0.0,0.670603125638312,0.0,0.670603125638312,0.0,0.6642857142857143,0.0,0.654119858503167,0.0,0.654119858503167,0.0,1699782631,True,1,176936d5,2023-11-12_09-50-31,52.19778490066528,52.19778490066528,113528,59d6454cd9f4,172.17.0.2,52.19778490066528,1,,0.5,130,"(0, 3, 7)",176936d5
306,0.7428571428571429,0.735952380952381,0.011391308298957804,0.745003741227821,0.010922901778955923,0.745003741227821,0.010922901778955926,0.7428571428571429,0.0,0.7498473969184488,0.0,0.7498473969184488,0.0,0.611904761904762,0.0,0.5797695420463084,0.0,0.5797695420463084,0.0,1699782677,True,1,770a1633,2023-11-12_09-51-17,93.16629409790039,93.16629409790039,113103,59d6454cd9f4,172.17.0.2,93.16629409790039,1,,1.1,249,"(1, 8, 9, 10)",770a1633
307,0.6361904761904762,0.6361904761904762,0.007438333024673005,0.6254529077378964,0.00713280671349893,0.6254529077378964,0.007132806713498929,0.6023809523809524,0.0,0.6020842859736045,0.0,0.6020842859736046,0.0,0.5666666666666667,0.0,0.522160422580455,0.0,0.522160422580455,0.0,1699782648,True,1,e3b5041f,2023-11-12_09-50-48,46.37750267982483,46.37750267982483,112319,59d6454cd9f4,172.17.0.2,46.37750267982483,1,,0.7000000000000001,177,"(1, 4, 9, 10)",e3b5041f
308,0.6307142857142857,0.6307142857142857,0.012392393980641046,0.6226548091837523,0.013283495467403253,0.6226548091837524,0.01328349546740324,0.6190476190476191,0.0,0.6081853836674602,0.0,0.6081853836674601,0.0,0.5523809523809524,0.0,0.5057294454199922,0.0,0.5057294454199922,0.0,1699782649,True,1,73492c6a,2023-11-12_09-50-49,44.67712926864624,44.67712926864624,109078,59d6454cd9f4,172.17.0.2,44.67712926864624,1,,0.8,187,"(3, 5, 9, 11)",73492c6a
