,score,randomforest-100-accuracy (mean),randomforest-100-accuracy (std),randomforest-100-f1-score macro (mean),randomforest-100-f1-score macro (std),randomforest-100-f1-score weighted (mean),randomforest-100-f1-score weighted (std),KNN-5-accuracy (mean),KNN-5-accuracy (std),KNN-5-f1-score macro (mean),KNN-5-f1-score macro (std),KNN-5-f1-score weighted (mean),KNN-5-f1-score weighted (std),SVM-rbf-C1.0-accuracy (mean),SVM-rbf-C1.0-accuracy (std),SVM-rbf-C1.0-f1-score macro (mean),SVM-rbf-C1.0-f1-score macro (std),SVM-rbf-C1.0-f1-score weighted (mean),SVM-rbf-C1.0-f1-score weighted (std),timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/min_delta,config/temperature_head,config/batch_size,config/latent_dim,logdir
211,0.8470588235294118,0.8385294117647059,0.004450807632476912,0.8370298560882066,0.004542753138682339,0.8370298560882066,0.004542753138682318,0.8470588235294118,0.0,0.8454692434840299,0.0,0.8454692434840299,0.0,0.8088235294117647,0.0,0.7795032982870003,0.0,0.7795032982870002,0.0,1700107699,False,1,936089a2,2023-11-16_04-08-19,36.78068423271179,36.78068423271179,29406,9db4e26f461e,172.17.0.2,36.78068423271179,1,,0.753,0.30000000000000004,171,552,936089a2
212,0.8311764705882352,0.8311764705882352,0.004401949866792888,0.8287103081670087,0.004555561778037013,0.8287103081670087,0.004555561778037021,0.8088235294117647,0.0,0.80542250166983,0.0,0.80542250166983,0.0,0.7911764705882353,0.0,0.7526980972779469,0.0,0.7526980972779469,0.0,1700107714,True,1,6c9ac591,2023-11-16_04-08-34,44.40859031677246,44.40859031677246,30629,9db4e26f461e,172.17.0.2,44.40859031677246,1,,0.628,0.1,180,458,6c9ac591
213,0.8467647058823529,0.8467647058823529,0.007941176470588236,0.8448920164596506,0.008225821007770376,0.8448920164596506,0.008225821007770428,0.8235294117647058,0.0,0.8226977044415598,0.0,0.8226977044415599,0.0,0.788235294117647,0.0,0.740182000765041,0.0,0.740182000765041,0.0,1700107710,False,1,8636de0f,2023-11-16_04-08-30,35.07176756858826,35.07176756858826,25795,9db4e26f461e,172.17.0.2,35.07176756858826,1,,0.58,0.7000000000000001,252,641,8636de0f
214,0.8285294117647058,0.8285294117647058,0.006966305460192377,0.8274021179859125,0.007270784897206772,0.8274021179859125,0.007270784897206813,0.8147058823529412,0.0,0.8146490784385829,0.0,0.8146490784385829,0.0,0.8147058823529412,0.0,0.7864347776462027,0.0,0.7864347776462026,0.0,1700107720,True,1,e3ea4308,2023-11-16_04-08-40,42.067044496536255,42.067044496536255,29016,9db4e26f461e,172.17.0.2,42.067044496536255,1,,0.44,0.8,138,702,e3ea4308
215,0.7967647058823529,0.7967647058823529,0.003590163416392303,0.7958240289748436,0.0036314474852424186,0.7958240289748436,0.0036314474852424308,0.7794117647058824,0.0,0.7781383055863385,0.0,0.7781383055863383,0.0,0.7852941176470588,0.0,0.7499158180644201,0.0,0.7499158180644201,0.0,1700107713,True,1,8caea510,2023-11-16_04-08-33,30.403539657592773,30.403539657592773,36254,9db4e26f461e,172.17.0.2,30.403539657592773,1,,0.737,0.5,323,472,8caea510
216,0.8405882352941176,0.8405882352941176,0.00655031101509412,0.8396512480566722,0.006659513215102617,0.8396512480566722,0.006659513215102624,0.8382352941176471,0.0,0.8369923329034696,0.0,0.8369923329034696,0.0,0.8,0.0,0.7617817296170568,0.0,0.7617817296170569,0.0,1700107730,False,1,8fc4cdc4,2023-11-16_04-08-50,30.61009931564331,30.61009931564331,29406,9db4e26f461e,172.17.0.2,30.61009931564331,1,,0.786,0.6000000000000001,203,525,8fc4cdc4
217,0.8117647058823529,0.8091176470588236,0.005334810925652056,0.8076067842156294,0.005352204320841109,0.8076067842156295,0.005352204320841146,0.8117647058823529,0.0,0.8101678623562275,0.0,0.8101678623562275,0.0,0.7970588235294118,0.0,0.7609297510035902,0.0,0.7609297510035902,0.0,1700107737,True,1,458a8855,2023-11-16_04-08-57,27.249898195266724,27.249898195266724,25795,9db4e26f461e,172.17.0.2,27.249898195266724,1,,0.847,0.4,224,426,458a8855
218,0.795,0.795,0.007210382748312523,0.7933617943395859,0.0073835296006799,0.7933617943395859,0.00738352960067981,0.7823529411764706,0.0,0.7795360195360195,0.0,0.7795360195360194,0.0,0.7911764705882353,0.0,0.7527849025127724,0.0,0.7527849025127724,0.0,1700107748,True,1,c112212e,2023-11-16_04-09-08,34.834028482437134,34.834028482437134,36254,9db4e26f461e,172.17.0.2,34.834028482437134,1,,0.598,0.5,213,581,c112212e
219,0.8176470588235294,0.8176470588235294,0.01154200992373445,0.8169547936320602,0.011577894322534183,0.8169547936320601,0.011577894322534164,0.8088235294117647,0.0,0.8074870814029251,0.0,0.8074870814029251,0.0,0.8,0.0,0.7492002865679069,0.0,0.749200286567907,0.0,1700107736,True,1,daf3d03c,2023-11-16_04-08-56,22.398266792297363,22.398266792297363,30629,9db4e26f461e,172.17.0.2,22.398266792297363,1,,0.68,0.6000000000000001,175,72,daf3d03c
220,0.8,0.7917647058823529,0.004886249331128299,0.7895508238727327,0.00493699098066612,0.7895508238727327,0.004936990980666108,0.8,0.0,0.7973954155265839,0.0,0.7973954155265838,0.0,0.7588235294117647,0.0,0.7197245453231217,0.0,0.7197245453231216,0.0,1700107757,True,1,68bc614b,2023-11-16_04-09-17,37.34032082557678,37.34032082557678,29016,9db4e26f461e,172.17.0.2,37.34032082557678,1,,0.646,0.30000000000000004,510,563,68bc614b
221,0.7941176470588235,0.7817647058823529,0.014516426681474199,0.7802386727127218,0.014592629742265063,0.780238672712722,0.01459262974226513,0.7941176470588235,0.0,0.7927385401837956,0.0,0.7927385401837956,0.0,0.7794117647058824,0.0,0.7257900136023497,0.0,0.7257900136023498,0.0,1700107749,True,1,e0fe5479,2023-11-16_04-09-09,19.226646184921265,19.226646184921265,29406,9db4e26f461e,172.17.0.2,19.226646184921265,1,,0.51,0.7000000000000001,461,170,e0fe5479
